Shape: (10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2)): (-0+1.958053154629529j)
(np.int64(1), np.int64(2), np.int64(3)): (-0+1.0916861336519774j)
(np.int64(1), np.int64(3), np.int64(4)): (-0+0.7300545179569538j)
(np.int64(1), np.int64(4), np.int64(5)): (-0+0.5211205905050378j)
(np.int64(1), np.int64(5), np.int64(6)): (-0+0.37861627122117675j)
(np.int64(1), np.int64(6), np.int64(7)): (-0+0.27026027506240125j)
(np.int64(1), np.int64(7), np.int64(8)): (-0+0.18073393876824204j)
(np.int64(1), np.int64(8), np.int64(9)): (-0+0.10076577051399115j)
(np.int64(2), np.int64(1), np.int64(3)): (-0+1.0916861336519768j)
(np.int64(2), np.int64(2), np.int64(4)): (-0+0.6382906047773803j)
(np.int64(2), np.int64(3), np.int64(5)): (-0+0.4344642549551834j)
(np.int64(2), np.int64(4), np.int64(6)): (-0+0.3101251530216901j)
(np.int64(2), np.int64(5), np.int64(7)): (-0+0.221370594795302j)
(np.int64(2), np.int64(6), np.int64(8)): (-0+0.15067997212691384j)
(np.int64(2), np.int64(7), np.int64(9)): (-0+0.08810005694126327j)
(np.int64(2), np.int64(9), np.int64(1)): (-1.2340247832357594e-17-0.10076577051399109j)
(np.int64(3), np.int64(1), np.int64(4)): (-0+0.730054517956954j)
(np.int64(3), np.int64(2), np.int64(5)): (-0+0.43446425495518337j)
(np.int64(3), np.int64(3), np.int64(6)): (-0+0.2957260962655044j)
(np.int64(3), np.int64(4), np.int64(7)): (-0+0.20739318941258458j)
(np.int64(3), np.int64(5), np.int64(8)): (-0+0.14116599374409422j)
(np.int64(3), np.int64(6), np.int64(9)): (-0+0.0840095866657622j)
(np.int64(3), np.int64(8), np.int64(1)): (-1.0789145273781761e-17-0.08810005694126327j)
(np.int64(3), np.int64(9), np.int64(2)): (-2.213352396098212e-17-0.18073393876824195j)
(np.int64(4), np.int64(1), np.int64(5)): (-0+0.5211205905050377j)
(np.int64(4), np.int64(2), np.int64(6)): (-0+0.3101251530216901j)
(np.int64(4), np.int64(3), np.int64(7)): (-0+0.20739318941258453j)
(np.int64(4), np.int64(4), np.int64(8)): (-0+0.13869218473780467j)
(np.int64(4), np.int64(5), np.int64(9)): (-0+0.08253739306873226j)
(np.int64(4), np.int64(7), np.int64(1)): (-1.0288207140791782e-17-0.08400958666576216j)
(np.int64(4), np.int64(8), np.int64(2)): (-1.845297455608374e-17-0.1506799721269138j)
(np.int64(4), np.int64(9), np.int64(3)): (-3.3097338079185303e-17-0.27026027506240136j)
(np.int64(5), np.int64(1), np.int64(6)): (-0+0.3786162712211767j)
(np.int64(5), np.int64(2), np.int64(7)): (-0+0.221370594795302j)
(np.int64(5), np.int64(3), np.int64(8)): (-0+0.14116599374409422j)
(np.int64(5), np.int64(4), np.int64(9)): (-0+0.08253739306873227j)
(np.int64(5), np.int64(6), np.int64(1)): (-1.0107915423158992e-17-0.08253739306873226j)
(np.int64(5), np.int64(7), np.int64(2)): (-1.7287848238716018e-17-0.14116599374409416j)
