Shape: (10, 10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(9)): (0.030490114407550502-3.733962101484332e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8)): (0.014502964815928466-1.776100943997348e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7)): (0.009656781074217104-1.1826146032606713e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (0.007733804477742915-9.471178898899328e-19j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5)): (0.0071977396419276325-8.81468881358269e-19j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4)): (0.007733804477742915-9.471178898899328e-19j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3)): (0.009656781074217104-1.1826146032606713e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(2)): (0.014502964815928466-1.776100943997348e-18j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(1)): (0.030490114407550502-3.733962101484332e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8)): (0.014502964815928466-1.776100943997348e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7)): (0.007298595178191658-8.93820122324472e-19j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6)): (0.004790554329015964-5.866737025170896e-19j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5)): (0.0038615332395033476-4.7290143215588835e-19j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4)): (0.0038615332395033476-4.7290143215588835e-19j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3)): (0.004790554329015962-5.866737025170896e-19j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2)): (0.007298595178191658-8.93820122324472e-19j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(1)): (0.014502964815928466-1.776100943997348e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7)): (0.009656781074217103-1.182614603260671e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6)): (0.004790554329015963-5.866737025170896e-19j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(5)): (0.0030998107145402613-3.7961732695244024e-19j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(4)): (0.0026449419616985533-3.2391197073246547e-19j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(3)): (0.0030998107145402613-3.7961732695244024e-19j)
