Shape: (10, 10, 10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1)): (-1.2734020208840514e-18+0.9331911011400247j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(9)): (-1.9977562846930754e-18-0.019056751286371555j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(8)): (-2.0496039919649138e-18-0.018416389518504828j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(7)): (-2.014749254905817e-18-0.017821133821704506j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(6)): (-2.003341792816683e-18-0.017650832059304136j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(5)): (-2.014749254905817e-18-0.017821133821704513j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(4)): (-2.0496039919649138e-18-0.01841638951850482j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(9), np.int64(3)): (-1.9977562846930754e-18-0.019056751286371555j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(9)): (-2.53358414555066e-18-0.023871795119082398j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(8)): (-4.1590883993381267e-19-0.004411793767766466j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(7)): (-2.8676264888341625e-19-0.0031595210048834185j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(6)): (-2.0638230164835099e-19-0.0024254216447961753j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(5)): (-2.0638230164835099e-19-0.0024254216447961753j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(4)): (-2.8676264888341625e-19-0.0031595210048834185j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(3)): (-4.1590883993381306e-19-0.004411793767766466j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(9), np.int64(2)): (-2.53358414555066e-18-0.023871795119082394j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(9)): (-1.9977562846930754e-18-0.019056751286371555j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(8)): (-4.1590883993381267e-19-0.004411793767766466j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(7)): (3.4314866242663096e-19+0.002787210897676015j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6)): (2.5555722657413455e-19+0.002059321597640159j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(5)): (2.476542824707808e-19+0.0019938522716949694j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(4)): (2.5555722657413455e-19+0.002059321597640159j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(3)): (3.4314866242663096e-19+0.0027872108976760117j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(2)): (-4.1590883993381267e-19-0.004411793767766469j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(1)): (-1.9977562846930754e-18-0.019056751286371555j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(8)): (-2.0496039919649138e-18-0.018416389518504828j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(7)): (-2.8676264888341625e-19-0.0031595210048834185j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(6)): (2.5555722657413455e-19+0.002059321597640159j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(5)): (1.831426452128705e-19+0.001454220090242122j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(4)): (1.831426452128705e-19+0.0014542200902421185j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(3)): (2.5555722657413455e-19+0.002059321597640159j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(2)): (-2.8676264888341625e-19-0.0031595210048834185j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(8), np.int64(1)): (-2.0496039919649138e-18-0.018416389518504828j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(7)): (-2.014749254905817e-18-0.017821133821704506j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(6)): (-2.0638230164835099e-19-0.002425421644796172j)
