Shape: (10, 10, 10, 10, 10)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (-8.009849052227043e-18-0.7220246508694641j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (-8.009849052227044e-18-0.7220246508694641j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(9)): (-1.6341457767265326e-17-0.15046588468219044j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (-1.2667951351083358e-17-0.1191992893584273j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(7)): (-1.1600499453785541e-17-0.11030217267797923j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(6)): (-1.1600499453785541e-17-0.11030217267797923j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (-1.2667951351083356e-17-0.11919928935842732j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(9), np.int64(4)): (-1.6341457767265326e-17-0.15046588468219044j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (3.526192660765254e-18+0.19723381927434885j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (-2.1072401314844325e-18-0.4128351482994769j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (3.5261926607652545e-18+0.1972338192743488j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(9)): (-8.871089012473296e-18-0.08649528984533231j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(8)): (-6.762997626221894e-18-0.06767006784319482j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(7)): (-6.307197379863757e-18-0.06368176663041696j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(6)): (-6.762997626221895e-18-0.0676700678431948j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(9), np.int64(5)): (-8.871089012473294e-18-0.08649528984533231j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (1.023142004978263e-18-0.041177133211485306j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (2.4491343377903843e-18+0.1093949203967079j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (2.4491343377903847e-18+0.1093949203967079j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (1.023142004978263e-18-0.041177133211485306j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(9)): (-6.685954016915322e-18-0.06729567814312781j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(8)): (-5.246142172874162e-18-0.05379455845561874j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(7)): (-5.24614217287416e-18-0.053794558455618736j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(9), np.int64(6)): (-6.685954016915323e-18-0.06729567814312781j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (5.66445618634102e-19-0.06954907120658248j)
