Shape: (16, 16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(15)): (0.8242287246030214-1.0093890693503953e-16j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(14)): (0.4054445636479717-4.965263871031838e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(13)): (0.2699156497346525-3.305513364873202e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(12)): (0.20562583575136312-2.5181902157490625e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(11)): (0.1703718710008619-2.0864536648595125e-17j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(10)): (0.1503222754045792-1.8409169341476485e-17j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(9)): (0.13985543505723325-1.7127351088620127e-17j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8)): (0.13659024202251355-1.672748026876335e-17j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(7)): (0.13985543505723325-1.7127351088620127e-17j)
(np.int64(1), np.int64(1), np.int64(10), np.int64(6)): (0.1503222754045792-1.8409169341476485e-17j)
(np.int64(1), np.int64(1), np.int64(11), np.int64(5)): (0.1703718710008619-2.0864536648595125e-17j)
(np.int64(1), np.int64(1), np.int64(12), np.int64(4)): (0.20562583575136312-2.5181902157490625e-17j)
(np.int64(1), np.int64(1), np.int64(13), np.int64(3)): (0.2699156497346525-3.305513364873202e-17j)
(np.int64(1), np.int64(1), np.int64(14), np.int64(2)): (0.4054445636479717-4.965263871031838e-17j)
(np.int64(1), np.int64(1), np.int64(15), np.int64(1)): (0.8242287246030214-1.0093890693503953e-16j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(14)): (0.4054445636479716-4.9652638710318376e-17j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(13)): (0.22357795172309217-2.7380402293760617e-17j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(12)): (0.15345052879056975-1.8792269891084003e-17j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(11)): (0.1177730453091098-1.4423038296363752e-17j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(10)): (0.09776979756875191-1.1973346964585667e-17j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(9)): (0.08668223382779792-1.0615512020015514e-17j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8)): (0.08168218475593461-1.0003182610871805e-17j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7)): (0.08168218475593461-1.0003182610871805e-17j)
(np.int64(1), np.int64(2), np.int64(9), np.int64(6)): (0.0866822338277979-1.0615512020015514e-17j)
(np.int64(1), np.int64(2), np.int64(10), np.int64(5)): (0.09776979756875191-1.1973346964585667e-17j)
(np.int64(1), np.int64(2), np.int64(11), np.int64(4)): (0.1177730453091098-1.4423038296363752e-17j)
(np.int64(1), np.int64(2), np.int64(12), np.int64(3)): (0.15345052879056975-1.8792269891084003e-17j)
(np.int64(1), np.int64(2), np.int64(13), np.int64(2)): (0.22357795172309217-2.7380402293760617e-17j)
(np.int64(1), np.int64(2), np.int64(14), np.int64(1)): (0.4054445636479716-4.9652638710318376e-17j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(13)): (0.2699156497346525-3.305513364873202e-17j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(12)): (0.15345052879056975-1.8792269891084003e-17j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(11)): (0.1058328799572428-1.2960789768418343e-17j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(10)): (0.08099433006759836-9.918944706636858e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(9)): (0.06717699934117051-8.226809721948831e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (0.06003969091694134-7.352741530322862e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (0.05782295346868126-7.081269488266683e-18j)
(np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (0.06003969091694134-7.352741530322862e-18j)
(np.int64(1), np.int64(3), np.int64(9), np.int64(5)): (0.06717699934117051-8.226809721948831e-18j)
(np.int64(1), np.int64(3), np.int64(10), np.int64(4)): (0.08099433006759836-9.918944706636855e-18j)
(np.int64(1), np.int64(3), np.int64(11), np.int64(3)): (0.1058328799572428-1.2960789768418343e-17j)
(np.int64(1), np.int64(3), np.int64(12), np.int64(2)): (0.15345052879056975-1.8792269891084003e-17j)
(np.int64(1), np.int64(3), np.int64(13), np.int64(1)): (0.2699156497346525-3.305513364873202e-17j)
(np.int64(1), np.int64(3), np.int64(15), np.int64(15)): (-0.7430022107377363+1.8198305582787512e-16j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(12)): (0.20562583575136306-2.5181902157490615e-17j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(11)): (0.11777304530910984-1.442303829636376e-17j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(10)): (0.08099433006759835-9.918944706636855e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(9)): (0.06177059235157864-7.564715820479678e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(8)): (0.051446924360043125-6.300431124350282e-18j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (0.046858196337034266-5.738474015796724e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (0.046858196337034266-5.738474015796724e-18j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (0.051446924360043125-6.30043112435028e-18j)
