Shape: (16, 16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.0019030116872178308+0j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(15)): (-0.003211390194453735+3.932818722450963e-19j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(14)): (-0.005074205611854246+6.21410966077284e-19j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(13)): (-0.00662976912861663+8.119125542446293e-19j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(12)): (-0.007884168618576288+9.655321862677459e-19j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(11)): (-0.00880878257289182+1.0787647382276955e-18j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(10)): (-0.009375909417092093+1.148217745673736e-18j)
(np.int64(1), np.int64(1), np.int64(9), np.int64(9)): (-0.009567085809127242+1.1716301013315743e-18j)
(np.int64(1), np.int64(1), np.int64(10), np.int64(8)): (-0.009375909417092093+1.148217745673736e-18j)
(np.int64(1), np.int64(1), np.int64(11), np.int64(7)): (-0.00880878257289182+1.0787647382276955e-18j)
(np.int64(1), np.int64(1), np.int64(12), np.int64(6)): (-0.007884168618576288+9.65532186267746e-19j)
(np.int64(1), np.int64(1), np.int64(13), np.int64(5)): (-0.00662976912861663+8.119125542446293e-19j)
(np.int64(1), np.int64(1), np.int64(14), np.int64(4)): (-0.005074205611854246+6.214109660772841e-19j)
(np.int64(1), np.int64(1), np.int64(15), np.int64(3)): (-0.0032113901944537354+3.932818722450963e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.0037328917025171307+0j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.003732891702517131+0j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(15)): (-0.0050742056118542505+6.214109660772844e-19j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(14)): (-0.007706385294617551+9.437600084049619e-19j)
