Shape: (16, 16, 16)
Non-zero entries (indices: value):
(np.int64(1), np.int64(2), np.int64(15)): (-1.4779726843996423e-17-0.12068562833207618j)
(np.int64(1), np.int64(3), np.int64(14)): (-2.4941239290498224e-17-0.2036606743092236j)
(np.int64(1), np.int64(4), np.int64(13)): (-3.3903200644451304e-17-0.2768406422819708j)
(np.int64(1), np.int64(5), np.int64(12)): (-4.1475765126431134e-17-0.33867532381833015j)
(np.int64(1), np.int64(6), np.int64(11)): (-4.74088672024012e-17-0.38712277887313384j)
(np.int64(1), np.int64(7), np.int64(10)): (-5.1490055167747237e-17-0.4204482076268572j)
(np.int64(1), np.int64(8), np.int64(9)): (-5.356926457177477e-17-0.4374262408481513j)
(np.int64(1), np.int64(9), np.int64(8)): (-5.356926457177477e-17-0.4374262408481513j)
(np.int64(1), np.int64(10), np.int64(7)): (-5.149005516774724e-17-0.4204482076268572j)
(np.int64(1), np.int64(11), np.int64(6)): (-4.74088672024012e-17-0.3871227788731339j)
(np.int64(1), np.int64(12), np.int64(5)): (-4.1475765126431134e-17-0.3386753238183301j)
(np.int64(1), np.int64(13), np.int64(4)): (-3.390320064445129e-17-0.2768406422819708j)
(np.int64(1), np.int64(14), np.int64(3)): (-2.4941239290498224e-17-0.2036606743092236j)
(np.int64(1), np.int64(15), np.int64(2)): (-1.4779726843996423e-17-0.12068562833207619j)
(np.int64(2), np.int64(1), np.int64(1)): 0.12068562833207606j
(np.int64(2), np.int64(3), np.int64(15)): (-2.494123929049824e-17-0.20366067430922372j)
(np.int64(2), np.int64(4), np.int64(14)): (-3.94087820885227e-17-0.32179712645279135j)
(np.int64(2), np.int64(5), np.int64(13)): (-5.149005516774725e-17-0.4204482076268572j)
(np.int64(2), np.int64(6), np.int64(12)): (-6.123233995736767e-17-0.5000000000000001j)
(np.int64(2), np.int64(7), np.int64(11)): (-6.841334771087743e-17-0.55863737820986j)
(np.int64(2), np.int64(8), np.int64(10)): (-7.281793434556703e-17-0.5946035575013606j)
(np.int64(2), np.int64(9), np.int64(9)): (-7.430270444565567e-17-0.6067276254458683j)
(np.int64(2), np.int64(10), np.int64(8)): (-7.281793434556703e-17-0.5946035575013606j)
(np.int64(2), np.int64(11), np.int64(7)): (-6.841334771087743e-17-0.5586373782098599j)
(np.int64(2), np.int64(12), np.int64(6)): (-6.123233995736767e-17-0.5j)
(np.int64(2), np.int64(13), np.int64(5)): (-5.149005516774725e-17-0.42044820762685725j)
(np.int64(2), np.int64(14), np.int64(4)): (-3.94087820885227e-17-0.32179712645279135j)
(np.int64(2), np.int64(15), np.int64(3)): (-2.4941239290498243e-17-0.20366067430922372j)
(np.int64(3), np.int64(1), np.int64(2)): 0.20366067430922358j
(np.int64(3), np.int64(2), np.int64(1)): 0.20366067430922355j
(np.int64(3), np.int64(4), np.int64(15)): (-3.3903200644451335e-17-0.2768406422819711j)
(np.int64(3), np.int64(5), np.int64(14)): (-5.149005516774726e-17-0.42044820762685736j)
(np.int64(3), np.int64(6), np.int64(13)): (-6.539694987724332e-17-0.5340066207070906j)
(np.int64(3), np.int64(7), np.int64(12)): (-7.60168390587665e-17-0.6207245967710232j)
(np.int64(3), np.int64(8), np.int64(11)): (-8.323452909955297e-17-0.6796615085876523j)
(np.int64(3), np.int64(9), np.int64(10)): (-8.689103665954403e-17-0.7095191586671433j)
(np.int64(3), np.int64(10), np.int64(9)): (-8.689103665954402e-17-0.7095191586671434j)
(np.int64(3), np.int64(11), np.int64(8)): (-8.323452909955297e-17-0.6796615085876523j)
(np.int64(3), np.int64(12), np.int64(7)): (-7.60168390587665e-17-0.6207245967710231j)
(np.int64(3), np.int64(13), np.int64(6)): (-6.539694987724332e-17-0.5340066207070905j)
(np.int64(3), np.int64(14), np.int64(5)): (-5.149005516774726e-17-0.42044820762685736j)
(np.int64(3), np.int64(15), np.int64(4)): (-3.3903200644451335e-17-0.276840642281971j)
(np.int64(4), np.int64(1), np.int64(3)): 0.2768406422819708j
(np.int64(4), np.int64(2), np.int64(2)): 0.32179712645279124j
(np.int64(4), np.int64(3), np.int64(1)): 0.2768406422819708j
(np.int64(4), np.int64(5), np.int64(15)): (-4.147576512643117e-17-0.3386753238183303j)
(np.int64(4), np.int64(6), np.int64(14)): (-6.123233995736767e-17-0.5000000000000001j)
(np.int64(4), np.int64(7), np.int64(13)): (-7.601683905876648e-17-0.620724596771023j)
(np.int64(4), np.int64(8), np.int64(12)): (-8.659560562354932e-17-0.7071067811865475j)
(np.int64(4), np.int64(9), np.int64(11)): (-9.299583822541316e-17-0.7593686464551288j)
(np.int64(4), np.int64(10), np.int64(10)): (-9.514121619471739e-17-0.7768869870150186j)
(np.int64(4), np.int64(11), np.int64(9)): (-9.299583822541315e-17-0.7593686464551287j)
(np.int64(4), np.int64(12), np.int64(8)): (-8.659560562354932e-17-0.7071067811865475j)
(np.int64(4), np.int64(13), np.int64(7)): (-7.601683905876648e-17-0.6207245967710231j)
(np.int64(4), np.int64(14), np.int64(6)): (-6.123233995736767e-17-0.5000000000000001j)
(np.int64(4), np.int64(15), np.int64(5)): (-4.147576512643117e-17-0.3386753238183304j)
(np.int64(5), np.int64(1), np.int64(4)): 0.3386753238183301j
(np.int64(5), np.int64(2), np.int64(3)): 0.4204482076268572j
(np.int64(5), np.int64(3), np.int64(2)): 0.4204482076268572j
(np.int64(5), np.int64(4), np.int64(1)): 0.33867532381833004j
(np.int64(5), np.int64(6), np.int64(15)): (-4.740886720240123e-17-0.3871227788731342j)
(np.int64(5), np.int64(7), np.int64(14)): (-6.841334771087745e-17-0.55863737820986j)
(np.int64(5), np.int64(8), np.int64(13)): (-8.323452909955298e-17-0.6796615085876523j)
(np.int64(5), np.int64(9), np.int64(12)): (-9.299583822541317e-17-0.7593686464551288j)
(np.int64(5), np.int64(10), np.int64(11)): (-9.787345204702848e-17-0.7991973858517559j)
