Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(5)): (0.015779815884435527-1.932470101400853e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4)): (0.010326835802091979-1.2646726410352234e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3)): (0.009132684189967077-1.1184312460866815e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2)): (0.010326835802091979-1.2646726410352234e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1)): (0.015779815884435527-1.932470101400853e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7)): (-0.012095242297683738+2.962479952954014e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4)): (0.01032683580209198-1.2646726410352232e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3)): (0.007034275290297628-8.614502718584306e-19j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2)): (0.007034275290297626-8.614502718584306e-19j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1)): (0.01032683580209198-1.2646726410352232e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-0.0075926834364033295+1.859671093466092e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-0.0075926834364033295+1.859671093466092e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.009132684189967075-1.1184312460866815e-18j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.007034275290297626-8.614502718584306e-19j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.009132684189967075-1.1184312460866815e-18j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.005830336944527341+1.4280206954131934e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.004367215780351963+1.0696593653187683e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.005830336944527341+1.4280206954131934e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2)): (0.010326835802091977-1.264672641035223e-18j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1)): (0.01032683580209198-1.2646726410352232e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7)): (-0.005342574678240488+1.3085533957825827e-18j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6)): (-0.0033208976659071395+8.13385339369819e-19j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(5)): (-0.0033208976659071412+8.13385339369819e-19j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (-0.005342574678240488+1.3085533957825827e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(1)): (0.01577981588443553-1.9324701014008532e-18j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(7)): (-0.005830336944527341+1.4280206954131934e-18j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(6)): (-0.00332089766590714+8.133853393698191e-19j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(5)): (-0.002738297631797626+6.706894859787482e-19j)
