Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (-4.1680762832994665e-18-0.2658397419891601j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (-4.168076283299467e-18-0.26583974198916005j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(7)): (-8.564408707330708e-18-0.08513115691024281j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(6)): (-6.824521781383148e-18-0.06965061204021254j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(5)): (-6.824521781383148e-18-0.06965061204021253j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(4)): (-8.564408707330707e-18-0.0851311569102428j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (2.1979234756088296e-18+0.06507191494055996j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (-5.240114449852914e-19-0.14113903919185164j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (2.1979234756088293e-18+0.06507191494055994j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(7)): (-4.459389107362168e-18-0.04946928886993522j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(6)): (-3.729657914002183e-18-0.04216789620751549j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(5)): (-4.459389107362168e-18-0.04946928886993523j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (8.67523250249188e-19-0.01655730855294579j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (1.502893403993575e-18+0.03891012148527931j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (1.5028934039935752e-18+0.03891012148527931j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (8.67523250249188e-19-0.016557308552945793j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(7)): (-3.281442352099173e-18-0.04028018934306245j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(6)): (-3.281442352099173e-18-0.04028018934306245j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (6.881286866006045e-19-0.023376321694426563j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (1.0277073209359184e-18+0.003991989692905564j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-3.4295677811156676e-19+0.08273445139299584j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (1.0277073209359184e-18+0.003991989692905564j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (6.881286866006046e-19-0.023376321694426563j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(7)): (-2.3820893453733197e-18-0.04012317541199172j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(6)): (8.069112611970006e-19-0.01805200472662201j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(5)): (9.012194140212888e-19+0.0012957755336520625j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(4)): (-1.8249940433134247e-18+0.030421302629101366j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(3)): (-1.8249940433134247e-18+0.030421302629101366j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(2)): (9.012194140212888e-19+0.0012957755336520634j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(1)): (8.069112611970004e-19-0.01805200472662201j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(7)): (1.2682877027902423e-18-0.00817484836966072j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(6)): (8.361364556300956e-19+0.002014789629781124j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(5)): (-3.951668032454999e-18+0.004836531698581982j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(4)): (-2.0940962193961186e-18+0.002950411508449345j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(3)): (-3.951668032454999e-18+0.004836531698581982j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(2)): (8.361364556300958e-19+0.0020147896297811243j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(1)): (1.2682877027902419e-18-0.00817484836966072j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(7)): (-1.9908718301165605e-20+0.00042898895917525056j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(6)): (-8.908778464524842e-18-0.025237926147167265j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(5)): (-4.169303519605733e-18-0.011995798966009063j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(4)): (-4.169303519605732e-18-0.011995798966009063j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(3)): (-8.908778464524842e-18-0.025237926147167265j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(2)): (-1.9908718301165605e-20+0.00042898895917525056j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3)): (2.1979234756088296e-18+0.06507191494055994j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(2)): (-5.240114449852914e-19-0.14113903919185164j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(1)): (2.1979234756088293e-18+0.06507191494055994j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(7)): (-4.459389107362168e-18-0.04946928886993523j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(6)): (-3.729657914002183e-18-0.04216789620751549j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(5)): (-4.459389107362168e-18-0.04946928886993523j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(4)): (5.9043138688427575e-18+0.1499974014418117j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(3)): (9.0920399636694e-19-0.061468635351041634j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(2)): (9.0920399636694e-19-0.06146863535104163j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(1)): (5.9043138688427575e-18+0.14999740144181167j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(7)): (-1.7597175295043834e-18-0.028187886191695828j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(6)): (-1.7597175295043834e-18-0.028187886191695825j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(5)): (4.531228674257841e-18+0.06707710594272723j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(4)): (2.749249282183646e-18+0.022594631392518244j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(3)): (1.5540659823982812e-18-0.01875971194909031j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(2)): (2.749249282183646e-18+0.022594631392518244j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(1)): (4.531228674257841e-18+0.06707710594272724j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(7)): (7.591064855186596e-21-0.021955528108108777j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(6)): (4.562942011928776e-18+0.04221144918768454j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(5)): (2.9501740132416438e-18+0.004780214767855552j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(4)): (1.5096942138635666e-18+0.02254120295457823j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(3)): (1.5096942138635668e-18+0.02254120295457823j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(2)): (2.950174013241644e-18+0.004780214767855551j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(1)): (4.562942011928776e-18+0.04221144918768455j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(7)): (5.988387765031498e-18+0.03505881064924845j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(6)): (3.86619467267051e-18+0.00861002375050059j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(5)): (1.5237058517344795e-18+0.00787153945183336j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (-9.365648123637524e-19+0.026548701334946995j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(3)): (1.5237058517344794e-18+0.00787153945183336j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(2)): (3.86619467267051e-18+0.00861002375050059j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(1)): (5.988387765031499e-18+0.03505881064924845j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(7)): (6.1956289263113566e-18+0.02067253508550801j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(6)): (1.3003779658964765e-18+0.005667131761666396j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(5)): (-2.1197719156488836e-18+0.004277995012864496j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5), np.int64(4)): (-2.1197719156488836e-18+0.004277995012864496j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(6), np.int64(3)): (1.3003779658964765e-18+0.005667131761666396j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(2)): (6.1956289263113566e-18+0.02067253508550801j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(1)): (-4.795257229249239e-18-0.04373500764812515j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(7)): (1.4791569899450866e-19+0.0009486434667312332j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4), np.int64(6)): (-5.653390101667524e-18-0.01745704454151518j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(5), np.int64(5)): (-2.8509293230325946e-18-0.008631753491171571j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(4)): (-5.653390101667524e-18-0.01745704454151518j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(3)): (1.479156989945087e-19+0.0009486434667312332j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(4)): (8.67523250249188e-19-0.01655730855294579j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(3)): (1.5028934039935748e-18+0.03891012148527931j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(2)): (1.5028934039935752e-18+0.03891012148527931j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4), np.int64(1)): (8.67523250249188e-19-0.016557308552945786j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(6), np.int64(7)): (-3.2814423520991734e-18-0.04028018934306245j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7), np.int64(6)): (-3.281442352099173e-18-0.040280189343062454j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(5)): (4.531228674257841e-18+0.06707710594272723j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(4)): (2.749249282183646e-18+0.022594631392518244j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(3)): (1.5540659823982812e-18-0.01875971194909031j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4), np.int64(2)): (2.749249282183646e-18+0.022594631392518244j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(1)): (4.531228674257841e-18+0.06707710594272723j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(7)): (7.591064855186596e-21-0.021955528108108774j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(6)): (3.71158922730565e-18+0.02808367535442707j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(5)): (4.243395524301475e-18+0.05463800760197056j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(4)): (2.710970191945518e-18-0.00508083704052101j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(4), np.int64(3)): (2.7109701919455177e-18-0.00508083704052101j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(5), np.int64(2)): (4.243395524301475e-18+0.05463800760197056j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(6), np.int64(1)): (3.71158922730565e-18+0.028083675354427066j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1), np.int64(7)): (4.280028677183741e-18+0.021516993065450678j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(2), np.int64(6)): (4.6530284674026155e-18+0.033247380580029545j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(3), np.int64(5)): (3.2862594050708766e-18+0.020708710094206446j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(4), np.int64(4)): (2.9366611424073035e-18+0.004174454961184876j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(3)): (3.2862594050708758e-18+0.020708710094206446j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(2)): (4.653028467402615e-18+0.033247380580029545j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(1)): (4.280028677183741e-18+0.021516993065450678j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(2), np.int64(7)): (6.499184201734118e-18+0.03279202668067348j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(3), np.int64(6)): (4.363263211319976e-18+0.01617246737490882j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(4), np.int64(5)): (1.6900451354650058e-18+0.014025277782160455j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(5), np.int64(4)): (1.690045135465006e-18+0.014025277782160454j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(3)): (4.3632632113199754e-18+0.01617246737490882j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(2)): (6.499184201734119e-18+0.03279202668067347j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(1), np.int64(1)): (-1.9480929907569145e-18-0.015627309099887972j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(3), np.int64(7)): (7.162416379907073e-18+0.02605105615670619j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(4), np.int64(6)): (1.9122042864089075e-18+0.00843311858138527j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(5), np.int64(5)): (-1.8144574290655174e-18+0.003591760284573445j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6), np.int64(4)): (1.912204286408908e-18+0.00843311858138527j)
