Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (0.1952379644648704-7.987352391354778e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (0.19523796446487035-7.98735239135478e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(7)): (-0.012039519321884316+7.040488274815452e-19j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(6)): (-0.015626298409753103+7.158702761187008e-19j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(5)): (-0.015626298409753103+7.158702761187016e-19j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(4)): (-0.012039519321884323+7.04048827481546e-19j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (-0.03749673097675656+6.1351021618742065e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (0.017693467725976034-1.1644905373419769e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (-0.03749673097675658+6.1351021618742065e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(7)): (0.016643857558996507-3.725870900786529e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(6)): (-0.04310570991393899+8.958728380730179e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(5)): (0.01664385755899651-3.72587090078653e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (-0.024104001134456432+4.9981375905527684e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (-0.050353388314218456+6.289147740820599e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (-0.050353388314218456+6.289147740820599e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-0.024104001134456432+4.9981375905527684e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(7)): (0.03279846818954024-7.51732602040408e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(6)): (0.03279846818954024-7.517326020404079e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (-0.02054434849380778+4.639472989903342e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (-0.03123251500853894+5.807387174671815e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-0.05885225018312581+1.1774038056433472e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (-0.03123251500853892+5.807387174671815e-18j)
