Shape: (8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2)): (-0+1.3808645082519975j)
(np.int64(1), np.int64(2), np.int64(3)): (-0+0.7534174365157313j)
(np.int64(1), np.int64(3), np.int64(4)): (-0+0.4848951321803812j)
(np.int64(1), np.int64(4), np.int64(5)): (-0+0.32399656895398554j)
(np.int64(1), np.int64(5), np.int64(6)): (-0+0.20852232973991247j)
(np.int64(1), np.int64(6), np.int64(7)): (-0+0.11377246514055689j)
(np.int64(2), np.int64(1), np.int64(3)): (-0+0.7534174365157309j)
(np.int64(2), np.int64(2), np.int64(4)): (-0+0.426776695296637j)
(np.int64(2), np.int64(3), np.int64(5)): (-0+0.2746710283669525j)
(np.int64(2), np.int64(4), np.int64(6)): (-0+0.1767766952966369j)
(np.int64(2), np.int64(5), np.int64(7)): (-0+0.10013595407754279j)
(np.int64(2), np.int64(7), np.int64(1)): (-1.3933108526548675e-17-0.11377246514055686j)
(np.int64(3), np.int64(1), np.int64(4)): (-0+0.4848951321803811j)
(np.int64(3), np.int64(2), np.int64(5)): (-0+0.2746710283669525j)
(np.int64(3), np.int64(3), np.int64(6)): (-0+0.1702725269620158j)
(np.int64(3), np.int64(4), np.int64(7)): (-0+0.09645163867287182j)
(np.int64(3), np.int64(6), np.int64(1)): (-1.2263117564062908e-17-0.10013595407754275j)
(np.int64(3), np.int64(7), np.int64(2)): (-2.5536620366673263e-17-0.2085223297399124j)
(np.int64(4), np.int64(1), np.int64(5)): (-0+0.32399656895398543j)
(np.int64(4), np.int64(2), np.int64(6)): (-0+0.1767766952966369j)
(np.int64(4), np.int64(3), np.int64(7)): (-0+0.09645163867287182j)
(np.int64(4), np.int64(5), np.int64(1)): (-1.1811919057324955e-17-0.09645163867287182j)
(np.int64(4), np.int64(6), np.int64(2)): (-2.164890140588733e-17-0.17677669529663687j)
(np.int64(4), np.int64(7), np.int64(3)): (-3.96781361104223e-17-0.32399656895398543j)
(np.int64(5), np.int64(1), np.int64(6)): (-0+0.20852232973991247j)
(np.int64(5), np.int64(2), np.int64(7)): (-0+0.10013595407754279j)
(np.int64(5), np.int64(4), np.int64(1)): (-1.1811919057324955e-17-0.09645163867287182j)
(np.int64(5), np.int64(5), np.int64(2)): (-2.08523705126764e-17-0.17027252696201578j)
(np.int64(5), np.int64(6), np.int64(3)): (-3.3637499570810015e-17-0.27467102836695245j)
(np.int64(5), np.int64(7), np.int64(4)): (-5.938252715468364e-17-0.4848951321803811j)
(np.int64(6), np.int64(1), np.int64(7)): (-0+0.11377246514055689j)
(np.int64(6), np.int64(3), np.int64(1)): (-1.2263117564062912e-17-0.10013595407754276j)
(np.int64(6), np.int64(4), np.int64(2)): (-2.164890140588733e-17-0.17677669529663687j)
(np.int64(6), np.int64(5), np.int64(3)): (-3.3637499570810015e-17-0.27467102836695245j)
(np.int64(6), np.int64(6), np.int64(4)): (-5.2265071384571156e-17-0.4267766952966368j)
(np.int64(6), np.int64(7), np.int64(5)): (-9.226702520507937e-17-0.7534174365157307j)
(np.int64(7), np.int64(2), np.int64(1)): (-1.3933108526548675e-17-0.11377246514055683j)
(np.int64(7), np.int64(3), np.int64(2)): (-2.5536620366673263e-17-0.2085223297399124j)
(np.int64(7), np.int64(4), np.int64(3)): (-3.96781361104223e-17-0.32399656895398543j)
(np.int64(7), np.int64(5), np.int64(4)): (-5.938252715468364e-17-0.48489513218038105j)
(np.int64(7), np.int64(6), np.int64(5)): (-9.226702520507933e-17-0.7534174365157301j)
(np.int64(7), np.int64(7), np.int64(6)): (-1.6910713000869902e-16-1.3808645082519955j)
