Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1)): (-1.497251535052961e-18+0.32301378211751824j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(7)): (-1.195345508585232e-18-0.013174741007257495j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(6)): (-1.1821760168038161e-18-0.012242318673274829j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(5)): (-1.1592783003577239e-18-0.011892759451920962j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(4)): (-1.1821760168038161e-18-0.012242318673274829j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(3)): (-1.1953455085852324e-18-0.013174741007257495j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(7)): (-3.9797500416005844e-18-0.035303900419539624j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(6)): (-1.814118158876008e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(5)): (-1.6793153688552234e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(4)): (-1.6793153688552234e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(3)): (-1.8141181588760077e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(2)): (-3.9797500416005844e-18-0.035303900419539624j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(7)): (-1.195345508585232e-18-0.013174741007257497j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(6)): (-1.814118158876008e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(5)): (-5.930261924029704e-19-0.004864645073805575j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(4)): (-6.012033204066336e-19-0.0049486281377332355j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(3)): (-5.930261924029703e-19-0.004864645073805575j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(2)): (-1.814118158876008e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(1)): (-1.195345508585232e-18-0.013174741007257497j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(6)): (-1.1821760168038161e-18-0.012242318673274829j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(5)): (-1.6793153688552234e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(4)): (-6.012033204066336e-19-0.0049486281377332355j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(3)): (-6.012033204066336e-19-0.004948628137733237j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(2)): (-1.6793153688552236e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(1)): (-1.1821760168038161e-18-0.012242318673274827j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(5)): (-1.1592783003577239e-18-0.011892759451920963j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(4)): (-1.6793153688552238e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(3)): (-5.930261924029703e-19-0.004864645073805575j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(2)): (-1.6793153688552236e-18-0.01453633747834307j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(1)): (-1.1592783003577239e-18-0.011892759451920965j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(7)): (2.272004632874759e-18+0.009311579095345853j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(4)): (-1.1821760168038161e-18-0.01224231867327483j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(3)): (-1.8141181588760077e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(2)): (-1.8141181588760077e-18-0.015760708829004474j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(1)): (-1.1821760168038161e-18-0.012242318673274827j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(6), np.int64(7)): (1.774730875275443e-18+0.007281028151728966j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(6)): (1.7747308752754434e-18+0.007281028151728966j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(3)): (-1.1953455085852324e-18-0.013174741007257495j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(2)): (-3.9797500416005844e-18-0.035303900419539624j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(1)): (-1.195345508585232e-18-0.013174741007257497j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(5), np.int64(7)): (2.272004632874759e-18+0.009311579095345853j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(6)): (1.774730875275444e-18+0.007281028151728966j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(5)): (2.272004632874759e-18+0.009311579095345853j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(2)): (-4.293958773513927e-18+0.2590852917657929j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(1)): (-4.293958773513927e-18+0.2590852917657929j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4), np.int64(7)): (-4.836424173556439e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5), np.int64(6)): (-5.192538103549742e-19-0.0066778127917119295j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(6), np.int64(5)): (-5.192538103549744e-19-0.006677812791711931j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7), np.int64(4)): (-4.836424173556439e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(1)): (-4.293958773513927e-18+0.2590852917657929j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(7)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4), np.int64(6)): (-1.984602403741107e-18-0.022252865957691017j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(5)): (-1.966054810279699e-18-0.02169963898745427j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6), np.int64(4)): (-1.9846024037411067e-18-0.022252865957691017j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(3)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(7)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(6)): (-2.0664743025348218e-18-0.018350502477583203j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(4), np.int64(5)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(5), np.int64(4)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(6), np.int64(3)): (-2.0664743025348218e-18-0.018350502477583203j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(7), np.int64(2)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(1), np.int64(7)): (-4.836424173556439e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(2), np.int64(6)): (-1.984602403741107e-18-0.022252865957691017j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(3), np.int64(5)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(4), np.int64(4)): (-7.030098274705718e-19-0.005740510880035249j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(3)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(2)): (-1.984602403741107e-18-0.022252865957691017j)
(np.int64(1), np.int64(3), np.int64(4), np.int64(7), np.int64(1)): (-4.836424173556441e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(1), np.int64(6)): (-5.192538103549741e-19-0.0066778127917119295j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(2), np.int64(5)): (-1.966054810279699e-18-0.021699638987454268j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(3), np.int64(4)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(4), np.int64(3)): (-1.3244614900238447e-18-0.0114686531487473j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(5), np.int64(2)): (-1.966054810279699e-18-0.021699638987454268j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(1)): (-5.192538103549739e-19-0.006677812791711929j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(1), np.int64(5)): (-5.192538103549743e-19-0.00667781279171193j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(2), np.int64(4)): (-1.9846024037411067e-18-0.022252865957691013j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(3), np.int64(3)): (-2.0664743025348218e-18-0.018350502477583203j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(4), np.int64(2)): (-1.984602403741107e-18-0.022252865957691013j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(5), np.int64(1)): (-5.192538103549739e-19-0.00667781279171193j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(7)): (4.232278946890792e-18+0.01736434918083128j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(1), np.int64(4)): (-4.836424173556441e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(2), np.int64(3)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(3), np.int64(2)): (-3.0609854468183214e-18-0.03410192556326996j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(4), np.int64(1)): (-4.836424173556441e-19-0.006807208693589381j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(7)): (4.232278946890793e-18+0.01736434918083128j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(7), np.int64(6)): (4.232278946890793e-18+0.017364349180831278j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(1), np.int64(3)): (-2.870750002977339e-18+0.08838283437184456j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(2), np.int64(2)): (-4.955716165565966e-18+0.1692811789471088j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(3), np.int64(1)): (-2.870750002977339e-18+0.08838283437184456j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(5), np.int64(7)): (-2.02377919017469e-19-0.004364879091330121j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(6), np.int64(6)): (-2.583941835034123e-19-0.0046642017519802756j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(7), np.int64(5)): (-2.0237791901746919e-19-0.004364879091330119j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(1), np.int64(2)): (-4.955716165565966e-18+0.1692811789471088j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(2), np.int64(1)): (-4.955716165565966e-18+0.1692811789471088j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(4), np.int64(7)): (-2.3223587961428238e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(5), np.int64(6)): (-1.5678369540517033e-18-0.019597660874913443j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(6), np.int64(5)): (-1.5678369540517033e-18-0.01959766087491345j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(7), np.int64(4)): (-2.322358796142823e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(1), np.int64(1)): (-2.870750002977339e-18+0.08838283437184456j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(3), np.int64(7)): (-2.925734185277177e-19-0.020765966119213025j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(4), np.int64(6)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(5), np.int64(5)): (-6.894297401984028e-19-0.012049797245177674j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(6), np.int64(4)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(7), np.int64(3)): (-2.925734185277177e-19-0.020765966119213032j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(2), np.int64(7)): (-2.3223587961428238e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(3), np.int64(6)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(4), np.int64(5)): (-1.4763637745911484e-18-0.012909451120728168j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(5), np.int64(4)): (-1.4763637745911484e-18-0.012909451120728168j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(6), np.int64(3)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(7), np.int64(2)): (-2.3223587961428234e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(1), np.int64(7)): (-2.023779190174689e-19-0.004364879091330121j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(2), np.int64(6)): (-1.5678369540517033e-18-0.019597660874913443j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(3), np.int64(5)): (-6.894297401984028e-19-0.012049797245177674j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(4), np.int64(4)): (-1.4763637745911484e-18-0.012909451120728168j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(5), np.int64(3)): (-6.894297401984028e-19-0.012049797245177674j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(2)): (-1.5678369540517033e-18-0.019597660874913443j)
(np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(1)): (-2.023779190174689e-19-0.00436487909133012j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(1), np.int64(6)): (-2.583941835034124e-19-0.0046642017519802756j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(2), np.int64(5)): (-1.5678369540517033e-18-0.01959766087491345j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(3), np.int64(4)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(4), np.int64(3)): (-1.1411266931590516e-18-0.0167998996998345j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(5), np.int64(2)): (-1.5678369540517033e-18-0.01959766087491345j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(6), np.int64(1)): (-2.583941835034123e-19-0.0046642017519802756j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(1), np.int64(5)): (-2.0237791901746919e-19-0.004364879091330119j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(2), np.int64(4)): (-2.322358796142823e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(3), np.int64(3)): (-2.925734185277181e-19-0.020765966119213032j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(4), np.int64(2)): (-2.322358796142823e-18-0.027540133248744016j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(5), np.int64(1)): (-2.023779190174689e-19-0.00436487909133012j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(7), np.int64(7)): (7.693101459973191e-18+0.03155814311587362j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(1), np.int64(4)): (-2.909778651293021e-18+0.03770083509771782j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(2), np.int64(3)): (-3.3213622491519077e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(3), np.int64(2)): (-3.3213622491519077e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(4), np.int64(1)): (-2.909778651293021e-18+0.03770083509771782j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(6), np.int64(7)): (4.667906419854245e-20-0.002391890756125556j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(7), np.int64(6)): (4.6679064198542257e-20-0.002391890756125556j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(1), np.int64(3)): (-3.321362249151908e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(2), np.int64(2)): (-4.983879194013478e-18+0.10593973993764058j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(3), np.int64(1)): (-3.3213622491519077e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(5), np.int64(7)): (-1.5971027623428748e-18-0.02225619660255296j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(6), np.int64(6)): (-1.0014575178935647e-18-0.01628670868772385j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(7), np.int64(5)): (-1.5971027623428748e-18-0.02225619660255296j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(1), np.int64(2)): (-3.3213622491519077e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(2), np.int64(1)): (-3.3213622491519077e-18+0.06771482409554516j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(4), np.int64(7)): (1.0790317936491069e-18-0.010102727977583477j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(5), np.int64(6)): (-6.289876329548276e-19-0.01189521989170143j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(6), np.int64(5)): (-6.289876329548276e-19-0.011895219891701433j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(7), np.int64(4)): (1.0790317936491073e-18-0.010102727977583477j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(1), np.int64(1)): (-2.909778651293021e-18+0.03770083509771782j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(3), np.int64(7)): (1.0790317936491069e-18-0.010102727977583477j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(4), np.int64(6)): (1.1175032024803399e-18-0.008185639920519402j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(5), np.int64(5)): (-4.8301184529769945e-19-0.01255094150541735j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(6), np.int64(4)): (1.1175032024803395e-18-0.008185639920519402j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(7), np.int64(3)): (1.0790317936491069e-18-0.010102727977583473j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(2), np.int64(7)): (-1.5971027623428748e-18-0.022256196602552958j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(3), np.int64(6)): (-6.289876329548276e-19-0.01189521989170143j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(4), np.int64(5)): (-4.8301184529769945e-19-0.01255094150541735j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(5), np.int64(4)): (-4.8301184529769945e-19-0.01255094150541735j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(6), np.int64(3)): (-6.289876329548275e-19-0.01189521989170143j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(7), np.int64(2)): (-1.5971027623428746e-18-0.022256196602552958j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(1), np.int64(7)): (4.6679064198542545e-20-0.002391890756125556j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(2), np.int64(6)): (-1.001457517893565e-18-0.016286708687723854j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(3), np.int64(5)): (-6.289876329548275e-19-0.011895219891701433j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(4), np.int64(4)): (1.1175032024803395e-18-0.008185639920519402j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(5), np.int64(3)): (-6.289876329548275e-19-0.011895219891701433j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(6), np.int64(2)): (-1.0014575178935653e-18-0.016286708687723854j)
(np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(1)): (4.6679064198542545e-20-0.002391890756125556j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(1), np.int64(6)): (4.6679064198542064e-20-0.002391890756125556j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(2), np.int64(5)): (-1.5971027623428748e-18-0.02225619660255296j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(3), np.int64(4)): (1.0790317936491069e-18-0.010102727977583477j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(4), np.int64(3)): (1.0790317936491069e-18-0.010102727977583473j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(5), np.int64(2)): (-1.5971027623428746e-18-0.022256196602552958j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(6), np.int64(1)): (4.667906419854235e-20-0.002391890756125556j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(1), np.int64(5)): (-3.760447840304599e-18+0.010886677352403677j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(2), np.int64(4)): (-2.862814991375896e-18+0.03071477216364886j)
