Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4)): (7.633004800799015e-18-0.06269136937105489j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (3.838564426764025e-18-0.01601778615043625j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (9.13826674992313e-19+0.008955172282151492j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(7)): (4.749180995968661e-18+0.00447713353744736j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(1)): (-6.615758911826302e-19-0.006293861313184655j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(2)): (-1.3681130002147018e-18-0.008811262373331626j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (3.838564426764025e-18-0.01601778615043624j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (2.377645997787283e-18+0.0013691152854054638j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(7)): (2.8061342708772873e-18+0.007379515538081049j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(1)): (-2.82312417521973e-18-0.02311229846855847j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(2)): (6.311725742914504e-20-0.00012084459668630757j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(3)): (-1.173654775128199e-18-0.010948368078562113j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (9.13826674992313e-19+0.008955172282151497j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(7)): (2.8061342708772873e-18+0.007379515538081049j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-1.762507217705523e-18-0.014787368198595415j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(2)): (3.2903926637678335e-19-0.0053185630153774225j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(3)): (-4.533016137495764e-19-0.006058169261835348j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(4)): (-8.664244321087667e-19-0.011215980992312706j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(7)): (4.749180995968662e-18+0.00447713353744736j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(1)): (-1.762507217705523e-18-0.014787368198595417j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (6.584013103426194e-20-0.006014250336755329j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(3)): (-9.587411898700168e-19-0.010149988705450719j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(4)): (-3.1432817327196363e-19-0.006600246806837208j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(5)): (-1.4568170343396707e-19-0.010035825653637066j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(1)): (-2.82312417521973e-18-0.02311229846855847j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(2)): (3.2903926637678335e-19-0.0053185630153774225j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(3)): (-9.587411898700168e-19-0.010149988705450719j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(4)): (-1.8767522420663898e-18-0.008792105384851336j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(5)): (4.568285173414301e-19-0.0042713786819096895j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(6)): (2.7849753715129294e-18-0.004657075825270518j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(1)): (-6.615758911826302e-19-0.0062938613131846574j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(2)): (6.311725742914504e-20-0.00012084459668630757j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(3)): (-4.533016137495767e-19-0.006058169261835346j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(4)): (-3.1432817327196363e-19-0.006600246806837208j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(5)): (4.568285173414299e-19-0.0042713786819096895j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(6)): (-7.303415354554995e-19-0.0005407579851375866j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(7)): (-6.657598229337727e-18-0.01553071464469133j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(2)): (-1.3681130002147018e-18-0.008811262373331626j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(3)): (-1.173654775128199e-18-0.010948368078562113j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(4)): (-8.664244321087667e-19-0.011215980992312705j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(5)): (-1.4568170343396613e-19-0.010035825653637066j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(6)): (2.7849753715129283e-18-0.00465707582527052j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(7)): (-6.657598229337727e-18-0.01553071464469133j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(5)): (3.8385644267640265e-18-0.01601778615043624j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(6)): (2.377645997787283e-18+0.001369115285405459j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(7)): (2.8061342708772885e-18+0.007379515538081046j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(1)): (-2.8231241752197303e-18-0.02311229846855847j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(2)): (6.311725742914504e-20-0.00012084459668630639j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(3)): (-1.173654775128199e-18-0.010948368078562112j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(6)): (2.3776459977872835e-18+0.0013691152854054625j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(7)): (6.8119930764838804e-18-0.014336915702900696j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(1)): (-6.948138075416388e-18-0.04570713258753767j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(2)): (-4.245933163758544e-19-0.004576515868575991j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(3)): (-2.163999915184809e-18-0.013457086459589563j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(4)): (-7.331282927030345e-19-0.01118655685354962j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(7)): (2.8061342708772892e-18+0.00737951553808105j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(1)): (-5.545346474844146e-18-0.03698915601205048j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(2)): (-2.0890370171295135e-18-0.013914164780468264j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(3)): (-5.181390067014224e-19-0.009128803470779705j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(4)): (-1.2307783815337709e-18-0.014779342637672846j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(5)): (-1.1935328691090548e-19-0.010198790083973078j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(1)): (-6.948138075416387e-18-0.04570713258753767j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(2)): (-2.0890370171295143e-18-0.013914164780468261j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(3)): (-3.303733836640633e-19-0.014742770262465886j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(4)): (-2.4513091663203947e-19-0.010729036882879166j)
