Shape: (8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.014644660940672627+0j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7)): (-0.02275449302811137+2.7866217053097363e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6)): (-0.032179712645279135+3.94087820885227e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5)): (-0.035355339059327376+4.329780281177466e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4)): (-0.032179712645279135+3.94087820885227e-18j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3)): (-0.02275449302811137+2.7866217053097363e-18j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.02705980500730985+0j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.02705980500730985+0j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7)): (-0.03217971264527914+3.94087820885227e-18j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6)): (-0.042044820762685724+5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5)): (-0.042044820762685724+5.1490055167747255e-18j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4)): (-0.03217971264527914+3.94087820885227e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.03535533905932738+0j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2)): (0.042044820762685724+0j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.03535533905932738+0j)
(np.int64(1), np.int64(3), np.int64(5), np.int64(7)): (-0.035355339059327376+4.329780281177466e-18j)
(np.int64(1), np.int64(3), np.int64(6), np.int64(6)): (-0.04204482076268574+5.149005516774727e-18j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5)): (-0.03535533905932738+4.329780281177466e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.03826834323650898+0j)
(np.int64(1), np.int64(4), np.int64(2), np.int64(3)): (0.05000000000000001+0j)
(np.int64(1), np.int64(4), np.int64(3), np.int64(2)): (0.05+0j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.03826834323650898+0j)
(np.int64(1), np.int64(4), np.int64(6), np.int64(7)): (-0.03217971264527914+3.940878208852271e-18j)
(np.int64(1), np.int64(4), np.int64(7), np.int64(6)): (-0.03217971264527914+3.940878208852271e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (0.03535533905932738+0j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4)): (0.05+0j)
(np.int64(1), np.int64(5), np.int64(3), np.int64(3)): (0.05493420567339049+0j)
(np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (0.05+0j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (0.03535533905932738+0j)
(np.int64(1), np.int64(5), np.int64(7), np.int64(7)): (-0.022754493028111375+2.786621705309736e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.027059805007309853+0j)
(np.int64(1), np.int64(6), np.int64(2), np.int64(5)): (0.04204482076268573+0j)
(np.int64(1), np.int64(6), np.int64(3), np.int64(4)): (0.05000000000000001+0j)
(np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (0.05000000000000001+0j)
(np.int64(1), np.int64(6), np.int64(5), np.int64(2)): (0.042044820762685724+0j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.027059805007309853+0j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.01464466094067263+0j)
(np.int64(1), np.int64(7), np.int64(2), np.int64(6)): (0.027059805007309853+0j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5)): (0.03535533905932738+0j)
(np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (0.03826834323650899+0j)
(np.int64(1), np.int64(7), np.int64(5), np.int64(3)): (0.03535533905932738+0j)
(np.int64(1), np.int64(7), np.int64(6), np.int64(2)): (0.02705980500730985+0j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (0.014644660940672632+0j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (0.02705980500730985+0j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (0.02705980500730985+0j)
(np.int64(2), np.int64(1), np.int64(4), np.int64(7)): (-0.03217971264527914+3.940878208852271e-18j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(6)): (-0.042044820762685724+5.1490055167747255e-18j)
(np.int64(2), np.int64(1), np.int64(6), np.int64(5)): (-0.042044820762685724+5.1490055167747255e-18j)
(np.int64(2), np.int64(1), np.int64(7), np.int64(4)): (-0.03217971264527914+3.940878208852271e-18j)
(np.int64(2), np.int64(2), np.int64(1), np.int64(3)): (0.04204482076268573+0j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.049999999999999996+0j)
(np.int64(2), np.int64(2), np.int64(3), np.int64(1)): (0.042044820762685724+0j)
