Shape: (8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2)): 0.08044928161319784j
(np.int64(1), np.int64(2), np.int64(3)): 0.12500000000000003j
(np.int64(1), np.int64(3), np.int64(4)): 0.14865088937534016j
(np.int64(1), np.int64(4), np.int64(5)): 0.14865088937534016j
(np.int64(1), np.int64(5), np.int64(6)): 0.12500000000000003j
(np.int64(1), np.int64(6), np.int64(7)): 0.08044928161319786j
(np.int64(2), np.int64(1), np.int64(3)): 0.125j
(np.int64(2), np.int64(2), np.int64(4)): 0.17677669529663687j
(np.int64(2), np.int64(3), np.int64(5)): 0.19422174675375464j
(np.int64(2), np.int64(4), np.int64(6)): 0.17677669529663687j
(np.int64(2), np.int64(5), np.int64(7)): 0.12500000000000003j
(np.int64(2), np.int64(7), np.int64(1)): (-9.852195522130675e-18-0.08044928161319785j)
(np.int64(3), np.int64(1), np.int64(4)): 0.14865088937534016j
(np.int64(3), np.int64(2), np.int64(5)): 0.19422174675375467j
(np.int64(3), np.int64(3), np.int64(6)): 0.19422174675375464j
(np.int64(3), np.int64(4), np.int64(7)): 0.14865088937534016j
(np.int64(3), np.int64(6), np.int64(1)): (-1.5308084989341915e-17-0.125j)
(np.int64(3), np.int64(7), np.int64(2)): (-1.5308084989341918e-17-0.12500000000000003j)
(np.int64(4), np.int64(1), np.int64(5)): 0.14865088937534016j
(np.int64(4), np.int64(2), np.int64(6)): 0.17677669529663687j
(np.int64(4), np.int64(3), np.int64(7)): 0.14865088937534016j
(np.int64(4), np.int64(5), np.int64(1)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(4), np.int64(6), np.int64(2)): (-2.164890140588733e-17-0.17677669529663687j)
(np.int64(4), np.int64(7), np.int64(3)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(5), np.int64(1), np.int64(6)): 0.12500000000000003j
(np.int64(5), np.int64(2), np.int64(7)): 0.12500000000000003j
(np.int64(5), np.int64(4), np.int64(1)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(5), np.int64(5), np.int64(2)): (-2.378530404867934e-17-0.19422174675375461j)
(np.int64(5), np.int64(6), np.int64(3)): (-2.3785304048679347e-17-0.19422174675375467j)
(np.int64(5), np.int64(7), np.int64(4)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(6), np.int64(1), np.int64(7)): 0.08044928161319786j
(np.int64(6), np.int64(3), np.int64(1)): (-1.5308084989341918e-17-0.125j)
(np.int64(6), np.int64(4), np.int64(2)): (-2.164890140588733e-17-0.17677669529663687j)
(np.int64(6), np.int64(5), np.int64(3)): (-2.3785304048679347e-17-0.19422174675375464j)
(np.int64(6), np.int64(6), np.int64(4)): (-2.1648901405887335e-17-0.1767766952966369j)
(np.int64(6), np.int64(7), np.int64(5)): (-1.5308084989341918e-17-0.12500000000000003j)
(np.int64(7), np.int64(2), np.int64(1)): (-9.852195522130675e-18-0.08044928161319784j)
(np.int64(7), np.int64(3), np.int64(2)): (-1.5308084989341918e-17-0.12500000000000003j)
(np.int64(7), np.int64(4), np.int64(3)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(7), np.int64(5), np.int64(4)): (-1.820448358639176e-17-0.14865088937534016j)
(np.int64(7), np.int64(6), np.int64(5)): (-1.5308084989341918e-17-0.125j)
(np.int64(7), np.int64(7), np.int64(6)): (-9.852195522130678e-18-0.08044928161319786j)
