Shape: (8, 8, 8, 8, 8)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(7)): (-0.03417447645343586+4.085778046781909e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (-0.01961543367332201+2.060035112124977e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(5)): (-0.014449641516941272+1.3023808624333217e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(4)): (-0.01444964151694127+1.302380862433322e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(3)): (-0.01961543367332201+2.060035112124977e-18j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(2)): (-0.03417447645343586+4.085778046781909e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(7)): (-0.03417447645343586+4.085778046781911e-18j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (-0.129361981893647+2.00654618284534e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(5)): (-0.08182813556777702+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(4)): (-0.07175403891542798+1.1580907807383058e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(3)): (-0.08182813556777702+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(2)): (-0.129361981893647+2.00654618284534e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(1)): (-0.03417447645343586+4.085778046781911e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (-0.01961543367332201+2.060035112124977e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(5)): (-0.08182813556777702+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(4)): (-0.04268682237337433+7.217414081561364e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(3)): (-0.04268682237337434+7.217414081561365e-18j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(2)): (-0.081828135567777+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(1)): (-0.01961543367332201+2.060035112124977e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (-0.014449641516941272+1.3023808624333217e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (-0.07175403891542798+1.1580907807383058e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-0.04268682237337434+7.217414081561364e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (-0.07175403891542798+1.1580907807383058e-17j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (-0.014449641516941274+1.302380862433322e-18j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(7)): (0.05901137650545424-1.5253518129239606e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(4)): (-0.01444964151694127+1.3023808624333221e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(3)): (-0.081828135567777+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(2)): (-0.081828135567777+1.3069507249240796e-17j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(1)): (-0.01444964151694127+1.3023808624333221e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(7)): (0.03178411542241559-7.742583247786296e-18j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(6)): (0.03178411542241559-7.742583247786299e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(3)): (-0.01961543367332201+2.060035112124977e-18j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(2)): (-0.12936198189364703+2.00654618284534e-17j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(1)): (-0.01961543367332201+2.060035112124977e-18j)
