Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-6.426131944164205e-17-0.7722801643924377j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (-6.426131944164205e-17-0.7722801643924377j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (-6.426131944164205e-17-0.7722801643924377j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (-6.426131944164205e-17-0.7722801643924377j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (-4.8918070821312286e-17+0.046826054811418966j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5), np.int64(6)): (-3.7096866193298637e-17+0.05897085217780996j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(5)): (-3.7096866193298637e-17+0.05897085217780994j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(4)): (-4.8918070821312286e-17+0.04682605481141893j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5), np.int64(6)): (-3.709686619329864e-17+0.058970852177809945j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(6), np.int64(5)): (-3.709686619329864e-17+0.05897085217780994j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(2), np.int64(4)): (3.7151710813470374e-17+0.36651908604534345j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(4), np.int64(2)): (3.715171081347037e-17+0.36651908604534345j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (-1.362610574361467e-17-0.23060833221403465j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (-1.362610574361467e-17-0.2306083322140346j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(4)): (-6.261232138718382e-17+0.11470857398961411j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (-9.561290020562125e-17+0.3247834823019806j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(7), np.int64(5)): (-9.561290020562126e-17+0.3247834823019806j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(4)): (-6.261232138718382e-17+0.11470857398961411j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(3), np.int64(4)): (1.738321014327691e-17+0.08017464490689662j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(4), np.int64(3)): (1.738321014327691e-17+0.08017464490689663j)
