Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.14547111122708928+8.675152877379643e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (0.03847310431876712+3.365426004088587e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (0.038473104318767125+3.365426004088587e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (0.05183467322705414+4.53422618945435e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (0.05183467322705413+4.53422618945435e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (0.05894421554585639+5.1561317783203354e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (0.05894421554585639+5.1561317783203354e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (0.058944215545856396+5.1561317783203354e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (0.058944215545856396+5.1561317783203354e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (0.05183467322705417+4.53422618945435e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (0.051834673227054186+4.53422618945435e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (0.03847310431876698+3.365426004088586e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (0.03847310431876698+3.365426004088586e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (0.020471111227089424+1.790705774231751e-18j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (0.02047111122708943+1.790705774231751e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (0.038473104318767125+3.365426004088587e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (0.03847310431876713+3.365426004088587e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.1973057844541436+2.7435204152225996e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (0.09741731986462329+8.521557782408922e-18j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (0.09741731986462329+8.521557782408922e-18j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (0.11077888877291057+9.690357967774683e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (0.11077888877291053+9.690357967774683e-18j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (0.11077888877291062+9.690357967774685e-18j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (0.11077888877291056+9.690357967774685e-18j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (0.09741731986462339+8.521557782408922e-18j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (0.09741731986462339+8.521557782408922e-18j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (0.0723057844541436+6.324931963686104e-18j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (0.0723057844541436+6.324931963686104e-18j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(8)): (0.03847310431876702+5.100456579564512e-18j)
(np.int64(2), np.int64(8), np.int64(8), np.int64(2)): (0.03847310431876701+5.100456579564512e-18j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (0.05183467322705413+4.534226189454351e-18j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (0.05183467322705412+4.534226189454351e-18j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(3)): (0.09741731986462326+8.52155778240892e-18j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(2)): (0.09741731986462326+8.52155778240892e-18j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(3)): (0.25625+3.827021247335478e-18j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(4)): (0.14925199309167764+1.3055783971863266e-17j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(3)): (0.14925199309167764+1.3055783971863266e-17j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (0.14925199309167758+1.3055783971863272e-17j)
(np.int64(3), np.int64(5), np.int64(5), np.int64(3)): (0.14925199309167758+1.3055783971863272e-17j)
(np.int64(3), np.int64(6), np.int64(3), np.int64(6)): (0.13125000000000006+1.1481063742006434e-17j)
(np.int64(3), np.int64(6), np.int64(6), np.int64(3)): (0.13125000000000006+1.1481063742006434e-17j)
(np.int64(3), np.int64(7), np.int64(3), np.int64(7)): (0.0974173198646234+1.1670998242122594e-17j)
(np.int64(3), np.int64(7), np.int64(7), np.int64(3)): (0.0974173198646234+1.1670998242122594e-17j)
