Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (7.650018665688334e-18+0.049277573869982244j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (7.650018665688334e-18+0.04927757386998227j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (7.650018665688338e-18+0.04927757386998237j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (7.650018665688338e-18+0.04927757386998236j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (1.1755971451566409e-17+0.11202512739082243j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5), np.int64(6)): (1.742499583612565e-17+0.11837059405243698j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(5)): (1.7424995836125647e-17+0.11837059405243697j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(4)): (1.1755971451566408e-17+0.11202512739082239j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5), np.int64(6)): (1.7424995836125647e-17+0.118370594052437j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(6), np.int64(5)): (1.7424995836125647e-17+0.11837059405243698j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(2), np.int64(4)): (-1.7844636098498186e-17-0.1260433753728449j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(4), np.int64(2)): (-1.7844636098498186e-17-0.1260433753728449j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (5.480187310625944e-18+0.04927757386998232j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (5.4801873106259435e-18+0.049277573869982334j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(4)): (1.1755971451566408e-17+0.11202512739082239j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (2.1984633283078357e-17+0.12604337537284446j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(7), np.int64(5)): (2.1984633283078354e-17+0.1260433753728445j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(4)): (1.1755971451566425e-17+0.1120251273908224j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(3), np.int64(4)): (-1.6768938948875112e-17-0.11837059405243706j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(4), np.int64(3)): (-1.6768938948875115e-17-0.1183705940524371j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(5), np.int64(7)): (2.1984633283078357e-17+0.12604337537284446j)
