Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (9.550246789472523e-17+0.5435995713901438j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (9.550246789472523e-17+0.5435995713901438j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (9.550246789472523e-17+0.5435995713901438j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (9.550246789472523e-17+0.5435995713901438j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (-4.8918070821312286e-17-0.45244934023519834j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5), np.int64(6)): (-3.709686619329864e-17-0.17889266923232186j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(5)): (-3.709686619329864e-17-0.17889266923232183j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(4)): (-4.8918070821312286e-17-0.45244934023519834j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5), np.int64(6)): (-3.709686619329864e-17-0.17889266923232186j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(6), np.int64(5)): (-3.709686619329864e-17-0.17889266923232186j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(2), np.int64(4)): (-3.6102404581134755e-17-0.2130774911498292j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(4), np.int64(2)): (-3.610240458113475e-17-0.21307749114982924j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (2.82811187396306e-17+0.15980698431774243j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (2.82811187396306e-17+0.15980698431774243j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(4)): (-6.261232138718382e-17-0.5317330838091447j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (-9.674990324998235e-17-0.35317258217856756j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(7), np.int64(5)): (-9.674990324998235e-17-0.3531725821785676j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(4)): (-6.261232138718382e-17-0.5317330838091446j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(3), np.int64(4)): (1.1072228872195531e-17+0.03243787945661478j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(4), np.int64(3)): (1.1072228872195528e-17+0.032437879456614784j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(5), np.int64(7)): (-9.674990324998234e-17-0.35317258217856756j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(7), np.int64(5)): (-9.674990324998234e-17-0.35317258217856756j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(3), np.int64(4)): (1.1072228872195534e-17+0.0324378794566148j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(4), np.int64(3)): (1.1072228872195531e-17+0.03243787945661479j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5), np.int64(6)): (-4.7615132597842676e-17-0.22685602174630942j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(6), np.int64(5)): (-4.7615132597842676e-17-0.22685602174630942j)
(np.int64(3), np.int64(7), np.int64(1), np.int64(5), np.int64(6)): (-4.761513259784268e-17-0.22685602174630942j)
(np.int64(3), np.int64(7), np.int64(1), np.int64(6), np.int64(5)): (-4.761513259784268e-17-0.2268560217463094j)
(np.int64(4), np.int64(7), np.int64(8), np.int64(5), np.int64(5)): (8.882676477227736e-17+0.2829927278417623j)
(np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(5)): (8.882676477227737e-17+0.2829927278417624j)
(np.int64(5), np.int64(1), np.int64(2), np.int64(4), np.int64(4)): (-2.11830561289016e-17-0.2829927278417631j)
(np.int64(5), np.int64(2), np.int64(1), np.int64(4), np.int64(4)): (-2.1183056128901603e-17-0.2829927278417631j)
(np.int64(6), np.int64(2), np.int64(8), np.int64(3), np.int64(4)): (4.572736080409163e-17+0.22685602174630978j)
(np.int64(6), np.int64(2), np.int64(8), np.int64(4), np.int64(3)): (4.572736080409163e-17+0.22685602174630978j)
(np.int64(6), np.int64(8), np.int64(2), np.int64(3), np.int64(4)): (4.5727360804091634e-17+0.2268560217463098j)
(np.int64(6), np.int64(8), np.int64(2), np.int64(4), np.int64(3)): (4.572736080409163e-17+0.2268560217463098j)
(np.int64(7), np.int64(1), np.int64(3), np.int64(5), np.int64(6)): (2.992883933898248e-18-0.032437879456615144j)
(np.int64(7), np.int64(1), np.int64(3), np.int64(6), np.int64(5)): (2.992883933898248e-18-0.032437879456615144j)
(np.int64(7), np.int64(1), np.int64(7), np.int64(2), np.int64(4)): (6.229293647736073e-17+0.3531725821785721j)
(np.int64(7), np.int64(1), np.int64(7), np.int64(4), np.int64(2)): (6.229293647736073e-17+0.3531725821785721j)
(np.int64(7), np.int64(3), np.int64(1), np.int64(5), np.int64(6)): (2.9928839338982446e-18-0.032437879456615165j)
(np.int64(7), np.int64(3), np.int64(1), np.int64(6), np.int64(5)): (2.9928839338982446e-18-0.03243787945661515j)
(np.int64(7), np.int64(4), np.int64(8), np.int64(5), np.int64(5)): (1.4395452060113126e-16+0.5317330838091435j)
(np.int64(7), np.int64(7), np.int64(1), np.int64(2), np.int64(4)): (6.229293647736072e-17+0.35317258217857206j)
(np.int64(7), np.int64(7), np.int64(1), np.int64(4), np.int64(2)): (6.229293647736072e-17+0.35317258217857206j)
(np.int64(7), np.int64(8), np.int64(4), np.int64(5), np.int64(5)): (1.4395452060113126e-16+0.5317330838091435j)
(np.int64(7), np.int64(8), np.int64(8), np.int64(1), np.int64(4)): (-4.785182992224217e-17-0.15980698431774287j)
(np.int64(7), np.int64(8), np.int64(8), np.int64(4), np.int64(1)): (-4.785182992224217e-17-0.15980698431774287j)
(np.int64(8), np.int64(2), np.int64(2), np.int64(5), np.int64(7)): (6.806147644135387e-17+0.21307749114982466j)
(np.int64(8), np.int64(2), np.int64(2), np.int64(7), np.int64(5)): (6.806147644135387e-17+0.2130774911498247j)
(np.int64(8), np.int64(2), np.int64(6), np.int64(3), np.int64(4)): (3.7627996459079686e-17+0.17889266923232208j)
(np.int64(8), np.int64(2), np.int64(6), np.int64(4), np.int64(3)): (3.7627996459079686e-17+0.17889266923232208j)
(np.int64(8), np.int64(4), np.int64(7), np.int64(5), np.int64(5)): (1.2538012294281919e-16+0.45244934023519773j)
(np.int64(8), np.int64(6), np.int64(2), np.int64(3), np.int64(4)): (3.7627996459079686e-17+0.17889266923232208j)
(np.int64(8), np.int64(6), np.int64(2), np.int64(4), np.int64(3)): (3.7627996459079686e-17+0.17889266923232208j)
(np.int64(8), np.int64(7), np.int64(4), np.int64(5), np.int64(5)): (1.2538012294281916e-16+0.45244934023519773j)
(np.int64(8), np.int64(7), np.int64(8), np.int64(1), np.int64(4)): (-1.6207421540680869e-16-0.5435995713901515j)
(np.int64(8), np.int64(7), np.int64(8), np.int64(4), np.int64(1)): (-1.620742154068087e-16-0.5435995713901516j)
(np.int64(8), np.int64(8), np.int64(7), np.int64(1), np.int64(4)): (-1.6207421540680869e-16-0.5435995713901514j)
(np.int64(8), np.int64(8), np.int64(7), np.int64(4), np.int64(1)): (-1.6207421540680873e-16-0.5435995713901516j)
