Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4)): (9.93209872398404e-18+0.01963268896165943j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (4.8107203117791594e-18+0.021306627324612394j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (2.847891346396982e-18+0.01592795741308231j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(7)): (9.099392240493971e-18+0.036189908812728155j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (4.35009108605207e-18+0.019550358165487128j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(1)): (-2.3446526048115924e-18-0.01990008668123624j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(2)): (7.740382399769992e-19+0.004718041917392302j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (4.8107203117791594e-18+0.02130662732461239j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (1.4977343749323482e-18+0.009994777716615017j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(7)): (1.9029896244313708e-18+0.010165989907843412j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(8)): (2.9593692231862113e-18+0.012921110239648308j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(1)): (-3.047256909639531e-18-0.02498404776724036j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(2)): (1.9864222743707664e-18+0.013583342475760624j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(3)): (1.6464124199081167e-18+0.006980475207167357j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (2.8478913463969816e-18+0.01592795741308231j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(7)): (1.9029896244313708e-18+0.010165989907843414j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(8)): (-1.41653002005302e-19+0.002107015130220171j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(1)): (-1.4816551310662286e-18-0.012504221362872317j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(2)): (5.051417335594432e-18+0.030360933065111968j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(3)): (1.4874507930562481e-18+0.00752518434635507j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(4)): (2.2199240437411253e-18+0.008376502933749206j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(7)): (9.099392240493971e-18+0.03618990881272816j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(8)): (2.9593692231862113e-18+0.012921110239648308j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (-1.2001546455552689e-18-0.010266633494846186j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(2)): (4.202946889872274e-18+0.025626937374281306j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(3)): (2.3247921018993874e-18+0.012552491259886006j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (1.5773752398972338e-18+0.006760671992756928j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (2.806426385540654e-18+0.00973945920095154j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(8)): (4.35009108605207e-18+0.019550358165487128j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(1)): (-1.4816551310662286e-18-0.012504221362872317j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (4.202946889872274e-18+0.025626937374281306j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(3)): (2.2185199116218532e-18+0.012027609542384942j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(4)): (1.0851574699013403e-18+0.006266654077298697j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (1.753475206863719e-18+0.006696736921132426j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(8), np.int64(6)): (4.016271030749834e-18+0.012866654382334903j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(1)): (-3.0472569096395314e-18-0.02498404776724036j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(2)): (5.051417335594433e-18+0.030360933065111968j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (2.3247921018993866e-18+0.012552491259886002j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(4)): (1.0851574699013403e-18+0.006266654077298697j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (-1.2566581597370132e-18-0.0021925196492298474j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(6)): (2.5089570782358766e-18+0.008287259686587991j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8), np.int64(7)): (8.84471666934059e-18+0.026207867375000287j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(1)): (-2.3446526048115924e-18-0.01990008668123624j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(2)): (1.9864222743707664e-18+0.013583342475760629j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(3)): (1.4874507930562481e-18+0.007525184346355073j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (1.5773752398972338e-18+0.006760671992756928j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (1.753475206863719e-18+0.006696736921132424j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(6)): (2.5089570782358766e-18+0.008287259686587991j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(7)): (-8.116695002343851e-19-0.002246329928686574j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(8), np.int64(8)): (-5.967007675694277e-18-0.016526335640886545j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(2)): (7.740382399769992e-19+0.004718041917392302j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(2), np.int64(3)): (1.6464124199081167e-18+0.006980475207167357j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(3), np.int64(4)): (2.2199240437411253e-18+0.008376502933749206j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (2.806426385540654e-18+0.009739459200951544j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(5), np.int64(6)): (4.016271030749835e-18+0.012866654382334903j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6), np.int64(7)): (8.84471666934059e-18+0.026207867375000287j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(8)): (-5.967007675694278e-18-0.01652633564088655j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(5)): (4.8107203117791594e-18+0.02130662732461239j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(6)): (1.4977343749323487e-18+0.009994777716615019j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(7)): (1.902989624431371e-18+0.010165989907843412j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(8)): (2.9593692231862117e-18+0.012921110239648308j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(1)): (-3.0472569096395314e-18-0.02498404776724036j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(2)): (1.986422274370766e-18+0.013583342475760624j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(3)): (1.6464124199081162e-18+0.006980475207167353j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(6)): (1.4977343749323493e-18+0.00999477771661502j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(7)): (-1.1183979465992187e-18-0.0010643294033317102j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(8)): (-1.3272580730380063e-18-0.0026113037114281422j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(1)): (-7.920513558101122e-18-0.0536491146495819j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(2)): (-2.5682198437274443e-19-0.0034807168043266j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(3)): (6.520588655531901e-19+0.00395009645403958j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(4)): (2.3605768215749197e-18+0.008797155011755702j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(7)): (1.9029896244313708e-18+0.010165989907843412j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(8)): (-1.3272580730380063e-18-0.0026113037114281422j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(1)): (-4.961484875391017e-18-0.033074690467598325j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(2)): (-1.5094628653090544e-18-0.010849542816534379j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(3)): (2.590934825645316e-18+0.013819213680070557j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(4)): (2.4689741791716105e-18+0.010289821902983573j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(5)): (2.873716767081347e-18+0.010014262159581715j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(8)): (2.9593692231862117e-18+0.01292111023964831j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(1)): (-4.9614848753910166e-18-0.03307469046759832j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (-9.278838988557965e-19-0.006887573679283507j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3)): (5.71409788078292e-18+0.028605604187882428j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(4)): (2.3921602063568594e-18+0.010554453436429438j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(5)): (4.164368599480418e-18+0.015220654982236844j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(8), np.int64(6)): (3.819870933974002e-18+0.012492548466528619j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(1)): (-7.920513558101122e-18-0.053649114649581914j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(2)): (-1.509462865309055e-18-0.010849542816534379j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(3)): (5.71409788078292e-18+0.028605604187882428j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(4)): (9.978512015440631e-19+0.006694008241052771j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(5)): (3.09621346769957e-18+0.01179387156418397j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(6)): (8.522515045037554e-18+0.027961599592701496j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8), np.int64(7)): (7.436613317225516e-18+0.022555408632703278j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(1)): (-3.0472569096395306e-18-0.024984047767240353j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(2)): (-2.5682198437274443e-19-0.0034807168043266j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(3)): (2.590934825645316e-18+0.013819213680070561j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(4)): (2.392160206356859e-18+0.010554453436429438j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5), np.int64(5)): (3.096213467699569e-18+0.01179387156418397j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(6), np.int64(6)): (1.3870237274205286e-19+0.0009682966416848317j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(7)): (-1.7782513627984477e-18-0.004825223162768442j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(8)): (-2.5611389019091913e-18-0.007283398217008633j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(2)): (1.986422274370766e-18+0.013583342475760624j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(3)): (6.520588655531901e-19+0.00395009645403958j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(4)): (2.4689741791716113e-18+0.010289821902983573j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4), np.int64(5)): (4.164368599480418e-18+0.015220654982236844j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(5), np.int64(6)): (8.522515045037554e-18+0.027961599592701496j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(7)): (-1.7782513627984473e-18-0.004825223162768442j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(8)): (-1.4369612803794487e-17-0.040645783478834595j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(1), np.int64(3)): (1.6464124199081165e-18+0.0069804752071673535j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(2), np.int64(4)): (2.36057682157492e-18+0.008797155011755702j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(3), np.int64(5)): (2.8737167670813472e-18+0.010014262159581715j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(4), np.int64(6)): (3.819870933974002e-18+0.012492548466528619j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (7.436613317225516e-18+0.022555408632703278j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(6), np.int64(8)): (-2.5611389019091913e-18-0.007283398217008633j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(8), np.int64(1)): (7.169489147998602e-18+0.02956138847913282j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(6)): (2.8478913463969808e-18+0.015927957413082318j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(7)): (1.9029896244313704e-18+0.010165989907843412j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(8)): (-1.416530020053022e-19+0.0021070151302201696j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5), np.int64(1)): (-1.4816551310662286e-18-0.012504221362872315j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(6), np.int64(2)): (5.051417335594433e-18+0.03036093306511198j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7), np.int64(3)): (1.4874507930562483e-18+0.007525184346355072j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(8), np.int64(4)): (2.219924043741126e-18+0.008376502933749206j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(7)): (1.9029896244313708e-18+0.010165989907843412j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(8)): (-1.3272580730380063e-18-0.0026113037114281422j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(4), np.int64(1)): (-4.961484875391017e-18-0.03307469046759832j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(2)): (-1.5094628653090544e-18-0.010849542816534379j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(6), np.int64(3)): (2.590934825645316e-18+0.013819213680070561j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(4)): (2.4689741791716105e-18+0.010289821902983571j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(8), np.int64(5)): (2.873716767081347e-18+0.010014262159581715j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(8)): (-1.4165300200530258e-19+0.002107015130220168j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)): (-3.3776556453690742e-18-0.022103225860814528j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(4), np.int64(2)): (-8.657561150599406e-18-0.046780197671379926j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(5), np.int64(3)): (3.350932104371584e-19+9.932204869792449e-05j)
