Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (0.11037777769493601+8.675152877379643e-19j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (-0.027480788799119124+3.365426004088587e-18j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (-0.027480788799119117+3.365426004088587e-18j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (-0.03702476659075303+4.53422618945435e-18j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (-0.03702476659075304+4.53422618945435e-18j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (-0.04210301110418315+5.1561317783203354e-18j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (-0.04210301110418315+5.1561317783203354e-18j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (-0.042103011104183144+5.1561317783203354e-18j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (-0.042103011104183144+5.1561317783203354e-18j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (-0.03702476659075297+4.53422618945435e-18j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (-0.03702476659075297+4.53422618945435e-18j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (-0.027480788799119277+3.365426004088586e-18j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (-0.027480788799119277+3.365426004088586e-18j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (-0.01462222230506388+1.790705774231751e-18j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (-0.01462222230506388+1.790705774231751e-18j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (-0.027480788799119117+3.365426004088587e-18j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (-0.02748078879911911+3.365426004088587e-18j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (0.07335301110418317+2.7435204152225996e-18j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (-0.06958379990330252+8.521557782408922e-18j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (-0.06958379990330252+8.521557782408922e-18j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (-0.07912777769493613+9.690357967774683e-18j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (-0.07912777769493612+9.690357967774683e-18j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (-0.07912777769493609+9.690357967774685e-18j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (-0.07912777769493609+9.690357967774685e-18j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (-0.06958379990330242+8.521557782408922e-18j)
