Shape: (9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2)): 0.06855283846704381j
(np.int64(1), np.int64(2), np.int64(3)): 0.10908496967060162j
(np.int64(1), np.int64(3), np.int64(4)): 0.13502273362667658j
(np.int64(1), np.int64(4), np.int64(5)): 0.14398501963843088j
(np.int64(1), np.int64(5), np.int64(6)): 0.13502273362667655j
(np.int64(1), np.int64(6), np.int64(7)): 0.10908496967060165j
(np.int64(1), np.int64(7), np.int64(8)): 0.06855283846704383j
(np.int64(2), np.int64(1), np.int64(3)): 0.10908496967060162j
(np.int64(2), np.int64(2), np.int64(4)): 0.15947155715728095j
(np.int64(2), np.int64(3), np.int64(5)): 0.1851035732081128j
(np.int64(2), np.int64(4), np.int64(6)): 0.18510357320811283j
(np.int64(2), np.int64(5), np.int64(7)): 0.15947155715728092j
(np.int64(2), np.int64(6), np.int64(8)): 0.10908496967060162j
(np.int64(2), np.int64(8), np.int64(1)): (-8.395301420113075e-18-0.06855283846704383j)
(np.int64(3), np.int64(1), np.int64(4)): 0.13502273362667658j
(np.int64(3), np.int64(2), np.int64(5)): 0.18510357320811277j
(np.int64(3), np.int64(3), np.int64(6)): 0.2014818622169141j
(np.int64(3), np.int64(4), np.int64(7)): 0.18510357320811283j
(np.int64(3), np.int64(5), np.int64(8)): 0.13502273362667658j
(np.int64(3), np.int64(7), np.int64(1)): (-1.3359055894218839e-17-0.10908496967060162j)
(np.int64(3), np.int64(8), np.int64(2)): (-1.3359055894218839e-17-0.1090849696706016j)
(np.int64(4), np.int64(1), np.int64(5)): 0.14398501963843088j
(np.int64(4), np.int64(2), np.int64(6)): 0.1851035732081128j
(np.int64(4), np.int64(3), np.int64(7)): 0.18510357320811283j
(np.int64(4), np.int64(4), np.int64(8)): 0.14398501963843088j
(np.int64(4), np.int64(6), np.int64(1)): (-1.6535515854803517e-17-0.13502273362667655j)
(np.int64(4), np.int64(7), np.int64(2)): (-1.9529633202770828e-17-0.15947155715728092j)
(np.int64(4), np.int64(8), np.int64(3)): (-1.653551585480352e-17-0.13502273362667658j)
(np.int64(5), np.int64(1), np.int64(6)): 0.13502273362667655j
(np.int64(5), np.int64(2), np.int64(7)): 0.15947155715728092j
(np.int64(5), np.int64(3), np.int64(8)): 0.13502273362667658j
(np.int64(5), np.int64(5), np.int64(1)): (-1.7633079342537316e-17-0.14398501963843088j)
(np.int64(5), np.int64(6), np.int64(2)): (-2.2668649844005314e-17-0.1851035732081128j)
(np.int64(5), np.int64(7), np.int64(3)): (-2.266864984400531e-17-0.18510357320811283j)
(np.int64(5), np.int64(8), np.int64(4)): (-1.763307934253732e-17-0.14398501963843088j)
(np.int64(6), np.int64(1), np.int64(7)): 0.10908496967060163j
(np.int64(6), np.int64(2), np.int64(8)): 0.10908496967060163j
(np.int64(6), np.int64(4), np.int64(1)): (-1.6535515854803517e-17-0.13502273362667655j)
(np.int64(6), np.int64(5), np.int64(2)): (-2.2668649844005317e-17-0.18510357320811283j)
(np.int64(6), np.int64(6), np.int64(3)): (-2.4674411765019197e-17-0.20148186221691414j)
(np.int64(6), np.int64(7), np.int64(4)): (-2.266864984400531e-17-0.18510357320811283j)
(np.int64(6), np.int64(8), np.int64(5)): (-1.653551585480352e-17-0.1350227336266766j)
(np.int64(7), np.int64(1), np.int64(8)): 0.06855283846704383j
(np.int64(7), np.int64(3), np.int64(1)): (-1.3359055894218839e-17-0.10908496967060162j)
(np.int64(7), np.int64(4), np.int64(2)): (-1.9529633202770828e-17-0.15947155715728095j)
(np.int64(7), np.int64(5), np.int64(3)): (-2.2668649844005314e-17-0.18510357320811283j)
(np.int64(7), np.int64(6), np.int64(4)): (-2.266864984400531e-17-0.18510357320811283j)
(np.int64(7), np.int64(7), np.int64(5)): (-1.9529633202770837e-17-0.159471557157281j)
(np.int64(7), np.int64(8), np.int64(6)): (-1.3359055894218843e-17-0.10908496967060168j)
(np.int64(8), np.int64(2), np.int64(1)): (-8.395301420113075e-18-0.06855283846704381j)
(np.int64(8), np.int64(3), np.int64(2)): (-1.3359055894218839e-17-0.10908496967060163j)
(np.int64(8), np.int64(4), np.int64(3)): (-1.653551585480352e-17-0.13502273362667658j)
(np.int64(8), np.int64(5), np.int64(4)): (-1.7633079342537323e-17-0.14398501963843088j)
(np.int64(8), np.int64(6), np.int64(5)): (-1.6535515854803523e-17-0.1350227336266766j)
(np.int64(8), np.int64(7), np.int64(6)): (-1.3359055894218843e-17-0.10908496967060168j)
(np.int64(8), np.int64(8), np.int64(7)): (-8.39530142011308e-18-0.06855283846704387j)
