Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(4), np.int64(7), np.int64(8), np.int64(8)): (-8.652875108253685e-18-0.029149182925402136j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(7), np.int64(8)): (-8.65287510825368e-18-0.02914918292540217j)
(np.int64(1), np.int64(4), np.int64(8), np.int64(8), np.int64(7)): (-8.65287510825368e-18-0.02914918292540217j)
(np.int64(2), np.int64(4), np.int64(1), np.int64(7), np.int64(7)): (-9.841439935614844e-18-0.04933884649400512j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(1), np.int64(7)): (-9.841439935614844e-18-0.04933884649400512j)
(np.int64(2), np.int64(4), np.int64(7), np.int64(7), np.int64(1)): (-9.841439935614844e-18-0.04933884649400512j)
(np.int64(3), np.int64(4), np.int64(2), np.int64(6), np.int64(8)): (-9.832315226326392e-18-0.04197538796185719j)
(np.int64(3), np.int64(4), np.int64(2), np.int64(8), np.int64(6)): (-9.832315226326394e-18-0.0419753879618572j)
(np.int64(3), np.int64(4), np.int64(6), np.int64(2), np.int64(8)): (-9.832315226326391e-18-0.04197538796185719j)
(np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(2)): (-9.832315226326391e-18-0.0419753879618572j)
(np.int64(3), np.int64(4), np.int64(8), np.int64(2), np.int64(6)): (-9.832315226326391e-18-0.041975387961857215j)
(np.int64(3), np.int64(4), np.int64(8), np.int64(6), np.int64(2)): (-9.832315226326394e-18-0.04197538796185719j)
(np.int64(4), np.int64(1), np.int64(7), np.int64(8), np.int64(8)): (-8.652875108253682e-18-0.02914918292540213j)
(np.int64(4), np.int64(1), np.int64(8), np.int64(7), np.int64(8)): (-8.652875108253679e-18-0.029149182925402153j)
(np.int64(4), np.int64(1), np.int64(8), np.int64(8), np.int64(7)): (-8.652875108253682e-18-0.029149182925402167j)
(np.int64(4), np.int64(2), np.int64(1), np.int64(7), np.int64(7)): (-9.841439935614833e-18-0.04933884649400507j)
(np.int64(4), np.int64(2), np.int64(7), np.int64(1), np.int64(7)): (-9.841439935614833e-18-0.04933884649400507j)
(np.int64(4), np.int64(2), np.int64(7), np.int64(7), np.int64(1)): (-9.841439935614835e-18-0.04933884649400507j)
(np.int64(4), np.int64(3), np.int64(2), np.int64(6), np.int64(8)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(3), np.int64(2), np.int64(8), np.int64(6)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(3), np.int64(6), np.int64(2), np.int64(8)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(3), np.int64(6), np.int64(8), np.int64(2)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(3), np.int64(8), np.int64(2), np.int64(6)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(3), np.int64(8), np.int64(6), np.int64(2)): (-9.832315226326394e-18-0.041975387961857194j)
(np.int64(4), np.int64(4), np.int64(1), np.int64(2), np.int64(5)): (8.288808543216775e-18+0.03697981875334552j)
(np.int64(4), np.int64(4), np.int64(1), np.int64(5), np.int64(2)): (8.288808543216777e-18+0.036979818753345495j)
(np.int64(4), np.int64(4), np.int64(2), np.int64(1), np.int64(5)): (8.288808543216772e-18+0.036979818753345495j)
(np.int64(4), np.int64(4), np.int64(2), np.int64(5), np.int64(1)): (8.288808543216772e-18+0.036979818753345495j)
(np.int64(4), np.int64(4), np.int64(5), np.int64(1), np.int64(2)): (8.288808543216777e-18+0.03697981875334551j)
(np.int64(4), np.int64(4), np.int64(5), np.int64(2), np.int64(1)): (8.288808543216772e-18+0.036979818753345495j)
(np.int64(5), np.int64(5), np.int64(4), np.int64(7), np.int64(8)): (-1.2201930254362525e-17-0.03697981875334566j)
