Shape: (9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2)): (-0+6.6471166005097295j)
(np.int64(1), np.int64(2), np.int64(3)): (-0+3.6734403850332114j)
(np.int64(1), np.int64(3), np.int64(4)): (-0+2.4193525862822916j)
(np.int64(1), np.int64(4), np.int64(5)): (-0+1.6839361359056513j)
(np.int64(1), np.int64(5), np.int64(6)): (-0+1.1720660005849977j)
(np.int64(1), np.int64(6), np.int64(7)): (-0+0.771930564427336j)
(np.int64(1), np.int64(7), np.int64(8)): (-0+0.42659713680837247j)
(np.int64(2), np.int64(1), np.int64(3)): (-0+3.6734403850332127j)
(np.int64(2), np.int64(2), np.int64(4)): (-0+2.120861795150967j)
(np.int64(2), np.int64(3), np.int64(5)): (-0+1.412990190564526j)
(np.int64(2), np.int64(4), np.int64(6)): (-0+0.9722209813632662j)
(np.int64(2), np.int64(5), np.int64(7)): (-0+0.647726651905447j)
(np.int64(2), np.int64(6), np.int64(8)): (-0+0.37396515683890486j)
(np.int64(2), np.int64(8), np.int64(1)): (-5.2243081811779854e-17-0.4265971368083723j)
(np.int64(3), np.int64(1), np.int64(4)): (-0+2.4193525862822907j)
(np.int64(3), np.int64(2), np.int64(5)): (-0+1.4129901905645257j)
(np.int64(3), np.int64(3), np.int64(6)): (-0+0.9306048591020997j)
(np.int64(3), np.int64(4), np.int64(7)): (-0+0.6129026298749034j)
(np.int64(3), np.int64(5), np.int64(8)): (-0+0.357957500157189j)
(np.int64(3), np.int64(7), np.int64(1)): (-4.579752323154027e-17-0.3739651568389048j)
(np.int64(3), np.int64(8), np.int64(2)): (-9.453422948899461e-17-0.7719305644273354j)
(np.int64(4), np.int64(1), np.int64(5)): (-0+1.6839361359056506j)
(np.int64(4), np.int64(2), np.int64(6)): (-0+0.972220981363266j)
(np.int64(4), np.int64(3), np.int64(7)): (-0+0.6129026298749034j)
(np.int64(4), np.int64(4), np.int64(8)): (-0+0.35385949834530506j)
(np.int64(4), np.int64(6), np.int64(1)): (-4.3837150679828954e-17-0.3579575001571888j)
(np.int64(4), np.int64(7), np.int64(2)): (-7.932363709784373e-17-0.6477266519054468j)
(np.int64(4), np.int64(8), np.int64(3)): (-1.4353668760058567e-16-1.1720660005849972j)
(np.int64(5), np.int64(1), np.int64(6)): (-0+1.1720660005849974j)
(np.int64(5), np.int64(2), np.int64(7)): (-0+0.647726651905447j)
(np.int64(5), np.int64(3), np.int64(8)): (-0+0.357957500157189j)
(np.int64(5), np.int64(5), np.int64(1)): (-4.3335290199646585e-17-0.353859498345305j)
(np.int64(5), np.int64(6), np.int64(2)): (-7.505892438652952e-17-0.6129026298749033j)
(np.int64(5), np.int64(7), np.int64(3)): (-1.1906273128904216e-16-0.9722209813632656j)
(np.int64(5), np.int64(8), np.int64(4)): (-2.0622269988054172e-16-1.6839361359056502j)
(np.int64(6), np.int64(1), np.int64(7)): (-0+0.7719305644273359j)
(np.int64(6), np.int64(2), np.int64(8)): (-0+0.37396515683890486j)
(np.int64(6), np.int64(4), np.int64(1)): (-4.3837150679828954e-17-0.3579575001571888j)
(np.int64(6), np.int64(5), np.int64(2)): (-7.505892438652954e-17-0.6129026298749033j)
(np.int64(6), np.int64(6), np.int64(3)): (-1.13966226197036e-16-0.9306048591020994j)
(np.int64(6), np.int64(7), np.int64(4)): (-1.7304139141014541e-16-1.4129901905645252j)
(np.int64(6), np.int64(8), np.int64(5)): (-2.9628524007994755e-16-2.419352586282289j)
(np.int64(7), np.int64(1), np.int64(8)): (-0+0.42659713680837247j)
(np.int64(7), np.int64(3), np.int64(1)): (-4.579752323154027e-17-0.3739651568389048j)
(np.int64(7), np.int64(4), np.int64(2)): (-7.932363709784373e-17-0.6477266519054469j)
(np.int64(7), np.int64(5), np.int64(3)): (-1.190627312890422e-16-0.9722209813632656j)
(np.int64(7), np.int64(6), np.int64(4)): (-1.7304139141014541e-16-1.4129901905645252j)
(np.int64(7), np.int64(7), np.int64(5)): (-2.597306608865538e-16-2.1208617951509643j)
(np.int64(7), np.int64(8), np.int64(6)): (-4.498667009389535e-16-3.6734403850332047j)
(np.int64(8), np.int64(2), np.int64(1)): (-5.2243081811779854e-17-0.4265971368083722j)
(np.int64(8), np.int64(3), np.int64(2)): (-9.453422948899461e-17-0.7719305644273355j)
(np.int64(8), np.int64(4), np.int64(3)): (-1.4353668760058567e-16-1.1720660005849972j)
(np.int64(8), np.int64(5), np.int64(4)): (-2.0622269988054174e-16-1.6839361359056502j)
(np.int64(8), np.int64(6), np.int64(5)): (-2.9628524007994765e-16-2.419352586282289j)
(np.int64(8), np.int64(7), np.int64(6)): (-4.498667009389535e-16-3.6734403850332047j)
(np.int64(8), np.int64(8), np.int64(7)): (-8.140370068373458e-16-6.647116600509716j)
