Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1)): (-7.680236250917892e-17+36.39858773853102j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(8)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(7)): (-9.696030573000596e-17-0.8955864835077374j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(6)): (-9.624443928891882e-17-0.8730462465619482j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(5)): (-9.624443928891882e-17-0.8730462465619482j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(4)): (-9.696030573000601e-17-0.8955864835077381j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(3)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(8)): (-1.1227025470939402e-16-1.10883057172977j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(7)): (-1.4835994352884917e-17-0.18388249685415925j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(6)): (-1.0094436729804379e-17-0.1345838228210514j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(5)): (-7.816441001978208e-18-0.11299546025446783j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(4)): (-1.0094436729804379e-17-0.1345838228210514j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(3)): (-1.4835994352884917e-17-0.18388249685415947j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(2)): (-1.1227025470939402e-16-1.10883057172977j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(8)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(7)): (-1.4835994352884917e-17-0.18388249685415947j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(6)): (1.9403822730716578e-17+0.1572895240885812j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)): (1.4886669525586042e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(4)): (1.4886669525586018e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(3)): (1.940382273071653e-17+0.15728952408858143j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(2)): (-1.4835994352884868e-17-0.18388249685415947j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(1)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(7)): (-9.696030573000596e-17-0.8955864835077374j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(6)): (-1.0094436729804379e-17-0.1345838228210514j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(5)): (1.4886669525586042e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(4)): (1.1383940757642553e-17+0.08987534003731401j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3)): (1.4886669525586067e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(2)): (-1.0094436729804379e-17-0.1345838228210512j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(1)): (-9.696030573000596e-17-0.8955864835077374j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(1), np.int64(6)): (-9.624443928891882e-17-0.8730462465619481j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (-7.816441001978208e-18-0.11299546025446783j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(3), np.int64(4)): (1.4886669525586042e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(3)): (1.4886669525586067e-17+0.11942816322227179j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (-7.816441001978208e-18-0.11299546025446772j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(1)): (-9.624443928891882e-17-0.8730462465619481j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(8), np.int64(8)): (1.3299746529344773e-16+0.544850396696964j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(1), np.int64(5)): (-9.624443928891882e-17-0.8730462465619482j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(2), np.int64(4)): (-1.0094436729804379e-17-0.1345838228210512j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(3), np.int64(3)): (1.9403822730716504e-17+0.15728952408858143j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(4), np.int64(2)): (-1.0094436729804379e-17-0.1345838228210512j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(5), np.int64(1)): (-9.624443928891882e-17-0.8730462465619481j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(7), np.int64(8)): (8.16049750909779e-17+0.33500232879364733j)
(np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(7)): (8.16049750909779e-17+0.3350023287936475j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(1), np.int64(4)): (-9.696030573000601e-17-0.8955864835077381j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(3)): (-1.4835994352884868e-17-0.18388249685415947j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(2)): (-1.4835994352884868e-17-0.18388249685415947j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(4), np.int64(1)): (-9.696030573000601e-17-0.8955864835077381j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(6), np.int64(8)): (8.16049750909779e-17+0.33500232879364733j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(7), np.int64(7)): (6.127590120208183e-17+0.2519458264048942j)
(np.int64(1), np.int64(2), np.int64(7), np.int64(8), np.int64(6)): (8.16049750909779e-17+0.33500232879364744j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(1), np.int64(3)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(2), np.int64(2)): (-1.1227025470939402e-16-1.10883057172977j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(3), np.int64(1)): (-9.185225828983351e-17-0.9172577954272882j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(5), np.int64(8)): (1.3299746529344773e-16+0.544850396696964j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(6), np.int64(7)): (8.16049750909779e-17+0.3350023287936475j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(7), np.int64(6)): (8.16049750909779e-17+0.3350023287936475j)
(np.int64(1), np.int64(2), np.int64(8), np.int64(8), np.int64(5)): (1.3299746529344773e-16+0.544850396696964j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(2)): (-3.1564361041639133e-16+26.29239993075759j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(1)): (-3.1564361041639133e-16+26.29239993075759j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(4), np.int64(8)): (-2.2925021885702716e-17-0.31933516902226255j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(5), np.int64(7)): (-3.157738484774461e-17-0.34789849013910024j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(6), np.int64(6)): (-3.232085568100527e-17-0.3445061116177811j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(7), np.int64(5)): (-3.157738484774456e-17-0.34789849013910024j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(8), np.int64(4)): (-2.2925021885702716e-17-0.31933516902226233j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(1)): (-3.1564361041639133e-16+26.29239993075759j)
(np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(8)): (-6.425909366050003e-17-1.0326567041983525j)
