Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (-3.784742060206463e-16-28.94574665184446j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (-3.7847420602064633e-16-28.94574665184446j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(8)): (-7.716289341182333e-16-7.3275894157234225j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(7)): (-6.027979358123649e-16-5.865769677138464j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(6)): (-5.6683355881177435e-16-5.560757762331415j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(5)): (-6.027979358123649e-16-5.865769677138464j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(4)): (-7.716289341182334e-16-7.327589415723423j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (1.8042651421477845e-16+7.570494052204369j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (-7.860858681055854e-17-16.05092045680157j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (1.8042651421477845e-16+7.570494052204367j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-4.1134140340384186e-16-4.214152674262435j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-3.224510559085563e-16-3.3864922123132057j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-3.224510559085563e-16-3.3864922123132053j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (-4.113414034038418e-16-4.214152674262436j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (6.107793307636095e-17-1.7094199936668364j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (1.2487783750253376e-16+4.337970171506459j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (1.2487783750253379e-16+4.337970171506459j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (6.107793307636093e-17-1.7094199936668373j)
