Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (5.79263037058968e-15+32.15861309740404j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (5.79263037058968e-15+32.15861309740405j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (5.792630370589679e-15+32.15861309740404j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (5.792630370589679e-15+32.15861309740405j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (-3.1307565325639863e-15-27.958206984959457j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5), np.int64(6)): (-2.374199436371113e-15-10.973403788048333j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(5)): (-2.374199436371113e-15-10.973403788048337j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(4)): (-3.1307565325639863e-15-27.95820698495946j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5), np.int64(6)): (-2.374199436371113e-15-10.973403788048333j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(6), np.int64(5)): (-2.374199436371113e-15-10.973403788048335j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(2), np.int64(4)): (-2.1640456624034144e-15-12.477766279198725j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(4), np.int64(2)): (-2.1640456624034144e-15-12.477766279198727j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (1.7261771503698674e-15+9.446816363271962j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (1.7261771503698674e-15+9.446816363271962j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(4)): (-4.0071885687797645e-15-32.73803404818774j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (-6.189719801910148e-15-21.24713313046723j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(7), np.int64(5)): (-6.189719801910148e-15-21.247133130467233j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(4)): (-4.0071885687797645e-15-32.73803404818774j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(3), np.int64(4)): (7.212446103626766e-16+2.17149781612391j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(4), np.int64(3)): (7.2124461036267675e-16+2.17149781612391j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(5), np.int64(7)): (-6.189719801910147e-15-21.24713313046723j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(7), np.int64(5)): (-6.189719801910148e-15-21.24713313046723j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(3), np.int64(4)): (7.212446103626767e-16+2.1714978161239102j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(4), np.int64(3)): (7.2124461036267675e-16+2.1714978161239102j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(5), np.int64(6)): (-3.0464386591218354e-15-13.907293313878851j)
(np.int64(3), np.int64(1), np.int64(7), np.int64(6), np.int64(5)): (-3.0464386591218354e-15-13.907293313878853j)
(np.int64(3), np.int64(7), np.int64(1), np.int64(5), np.int64(6)): (-3.0464386591218358e-15-13.907293313878851j)
(np.int64(3), np.int64(7), np.int64(1), np.int64(6), np.int64(5)): (-3.0464386591218358e-15-13.907293313878851j)
(np.int64(4), np.int64(7), np.int64(8), np.int64(5), np.int64(5)): (5.629565104643136e-15+17.659585164121076j)
(np.int64(4), np.int64(8), np.int64(7), np.int64(5), np.int64(5)): (5.6295651046431365e-15+17.659585164121072j)
(np.int64(5), np.int64(1), np.int64(2), np.int64(4), np.int64(4)): (-1.3557155922497024e-15-17.659585164121122j)
(np.int64(5), np.int64(2), np.int64(1), np.int64(4), np.int64(4)): (-1.3557155922497026e-15-17.65958516412112j)
(np.int64(6), np.int64(2), np.int64(8), np.int64(3), np.int64(4)): (2.8525947370133825e-15+13.907293313878874j)
(np.int64(6), np.int64(2), np.int64(8), np.int64(4), np.int64(3)): (2.8525947370133825e-15+13.907293313878876j)
(np.int64(6), np.int64(8), np.int64(2), np.int64(3), np.int64(4)): (2.8525947370133825e-15+13.907293313878874j)
(np.int64(6), np.int64(8), np.int64(2), np.int64(4), np.int64(3)): (2.852594737013382e-15+13.907293313878874j)
