Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4)): (6.370012824740758e-16+1.0133524941186571j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(5)): (3.0921489650788036e-16+1.2564634442442875j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(6)): (1.836205619247264e-16+0.969118075824921j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(7)): (5.838870427689141e-16+2.186198496568552j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (2.8048572694360573e-16+1.228425947392016j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(1)): (-1.4732130898366746e-16-1.2512606745616062j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(2)): (4.548099534706521e-17+0.27731972363850693j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(5)): (3.092148965078804e-16+1.2564634442442872j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(6)): (9.73199339929054e-17+0.6127243131563829j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(7)): (1.2344180789800134e-16+0.6315965417952021j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(4), np.int64(8)): (1.9158459618110622e-16+0.8087037822271199j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(1)): (-1.957244051887988e-16-1.6046946885193651j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(2)): (1.239972097864123e-16+0.8484319784886353j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(3)): (9.985732155948273e-17+0.41311435267103397j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(6)): (1.8362056192472638e-16+0.9691180758249212j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(7)): (1.2344180789800136e-16+0.6315965417952022j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(8)): (-6.877294928801872e-18+0.16285832687412335j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(5), np.int64(1)): (-9.568471089728047e-17-0.8072826585775781j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(2)): (3.1505007847878627e-16+1.8803204764897854j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(3)): (9.153230872776166e-17+0.4572716180977574j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(4)): (1.3578292781496482e-16+0.4982288157113344j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(7)): (5.8388704276891425e-16+2.186198496568552j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(8)): (1.9158459618110622e-16+0.8087037822271199j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (-7.770221951024106e-17-0.6643509073410944j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(2)): (2.614856961020116e-16+1.5832963413082664j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(6), np.int64(3)): (1.4284208240442922e-16+0.7602923287209222j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(4)): (9.705919073053882e-17+0.4069635041405344j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(5)): (1.728827302596647e-16+0.5835609790483224j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(8)): (2.8048572694360573e-16+1.228425947392016j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(1)): (-9.568471089728047e-17-0.8072826585775781j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(2)): (2.614856961020116e-16+1.5832963413082664j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(3)): (1.3617490623423277e-16+0.7277619155634928j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(4)): (6.494086524619699e-17+0.3703050259998499j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(5)): (1.0849398909082092e-16+0.40416157597114916j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(8), np.int64(6)): (2.4970799480733377e-16+0.7807675122719978j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(1)): (-1.9572440518879884e-16-1.6046946885193651j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(2)): (3.1505007847878627e-16+1.8803204764897854j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(3)): (1.428420824044292e-16+0.7602923287209222j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(4)): (6.494086524619699e-17+0.3703050259998499j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(5)): (-8.243401019366627e-17-0.15062070251118392j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(6)): (1.573079886094824e-16+0.5091364387930515j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(8), np.int64(7)): (5.568373298821517e-16+1.6230692571714662j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(1)): (-1.4732130898366746e-16-1.2512606745616062j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(2)): (1.239972097864123e-16+0.8484319784886353j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(3)): (9.153230872776166e-17+0.4572716180977574j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(4)): (9.70591907305388e-17+0.4069635041405344j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(5)): (1.0849398909082092e-16+0.40416157597114916j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(6)): (1.5730798860948238e-16+0.5091364387930515j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(7)): (-5.19501723103205e-17-0.13943660269936542j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(8), np.int64(8)): (-3.865849357373362e-16-1.0636992995922778j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(2)): (4.548099534706521e-17+0.27731972363850693j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(2), np.int64(3)): (9.985732155948273e-17+0.41311435267103397j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(3), np.int64(4)): (1.357829278149649e-16+0.4982288157113344j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(4), np.int64(5)): (1.728827302596647e-16+0.5835609790483224j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(5), np.int64(6)): (2.497079948073338e-16+0.7807675122719978j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6), np.int64(7)): (5.568373298821517e-16+1.6230692571714662j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(8)): (-3.865849357373362e-16-1.0636992995922778j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(5)): (3.092148965078804e-16+1.256463444244288j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(6)): (9.731993399290545e-17+0.612724313156383j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(7)): (1.234418078980014e-16+0.6315965417952021j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(4), np.int64(8)): (1.9158459618110627e-16+0.80870378222712j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(1)): (-1.9572440518879882e-16-1.6046946885193651j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(2)): (1.239972097864123e-16+0.848431978488635j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(3)): (9.985732155948273e-17+0.4131143526710338j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(6)): (9.731993399290548e-17+0.612724313156383j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(7)): (-6.975149439136858e-17-0.03942477755069249j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(8)): (-8.249459320431666e-17-0.12347277975283581j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(5), np.int64(1)): (-5.073646486452758e-16-3.4372324087986645j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(6), np.int64(2)): (-1.6645388007171447e-17-0.22343146043602596j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(7), np.int64(3)): (3.6042929835949483e-17+0.22093400024849374j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(8), np.int64(4)): (1.447956934909556e-16+0.5243238892176462j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(7)): (1.2344180789800136e-16+0.6315965417952021j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(8)): (-8.249459320431666e-17-0.12347277975283578j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(1)): (-3.1937352805030065e-16-2.131792649245629j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(2)): (-9.766887843909013e-17-0.7020981143931909j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(3)): (1.5987530917234536e-16+0.8442402898561863j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(4)): (1.501488040512528e-16+0.6115453149522893j)
(np.int64(1), np.int64(2), np.int64(3), np.int64(8), np.int64(5)): (1.7730498423951053e-16+0.6005729635517945j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(8)): (1.9158459618110627e-16+0.80870378222712j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(3), np.int64(1)): (-3.193735280503006e-16-2.1317926492456287j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (-6.076577181342016e-17-0.4511560994505009j)
(np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(3)): (3.546918055670728e-16+1.7491079660781341j)
