Shape: (9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1)): (1.7835911098850528+1.388024460380743e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2)): (-0.40671567422696286+5.384681606541739e-17j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1)): (-0.40671567422696275+5.384681606541739e-17j)
(np.int64(1), np.int64(3), np.int64(1), np.int64(3)): (-0.547966545543145+7.25476190312696e-17j)
(np.int64(1), np.int64(3), np.int64(3), np.int64(1)): (-0.5479665455431451+7.25476190312696e-17j)
(np.int64(1), np.int64(4), np.int64(1), np.int64(4)): (-0.6231245643419107+8.249810845312537e-17j)
(np.int64(1), np.int64(4), np.int64(4), np.int64(1)): (-0.6231245643419107+8.249810845312537e-17j)
(np.int64(1), np.int64(5), np.int64(1), np.int64(5)): (-0.6231245643419105+8.249810845312537e-17j)
(np.int64(1), np.int64(5), np.int64(5), np.int64(1)): (-0.6231245643419105+8.249810845312537e-17j)
(np.int64(1), np.int64(6), np.int64(1), np.int64(6)): (-0.547966545543144+7.25476190312696e-17j)
(np.int64(1), np.int64(6), np.int64(6), np.int64(1)): (-0.547966545543144+7.25476190312696e-17j)
(np.int64(1), np.int64(7), np.int64(1), np.int64(7)): (-0.4067156742269653+5.384681606541738e-17j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(1)): (-0.4067156742269653+5.384681606541738e-17j)
(np.int64(1), np.int64(8), np.int64(1), np.int64(8)): (-0.2164088901149454+2.865129238770802e-17j)
(np.int64(1), np.int64(8), np.int64(8), np.int64(1)): (-0.2164088901149454+2.865129238770802e-17j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(2)): (-0.40671567422696275+5.384681606541739e-17j)
(np.int64(2), np.int64(1), np.int64(2), np.int64(1)): (-0.40671567422696264+5.384681606541739e-17j)
(np.int64(2), np.int64(2), np.int64(2), np.int64(2)): (1.235624564341911+4.3896326643561594e-17j)
(np.int64(2), np.int64(3), np.int64(2), np.int64(3)): (-1.0298402385688774+1.3634492451854275e-16j)
(np.int64(2), np.int64(3), np.int64(3), np.int64(2)): (-1.0298402385688774+1.3634492451854275e-16j)
(np.int64(2), np.int64(4), np.int64(2), np.int64(4)): (-1.1710911098850547+1.5504572748439493e-16j)
(np.int64(2), np.int64(4), np.int64(4), np.int64(2)): (-1.1710911098850545+1.5504572748439493e-16j)
(np.int64(2), np.int64(5), np.int64(2), np.int64(5)): (-1.171091109885054+1.5504572748439496e-16j)
(np.int64(2), np.int64(5), np.int64(5), np.int64(2)): (-1.171091109885054+1.5504572748439496e-16j)
(np.int64(2), np.int64(6), np.int64(2), np.int64(6)): (-1.0298402385688759+1.3634492451854275e-16j)
(np.int64(2), np.int64(6), np.int64(6), np.int64(2)): (-1.0298402385688759+1.3634492451854275e-16j)
(np.int64(2), np.int64(7), np.int64(2), np.int64(7)): (-0.7643754356580899+1.0119891141897766e-16j)
(np.int64(2), np.int64(7), np.int64(7), np.int64(2)): (-0.7643754356580899+1.0119891141897766e-16j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(8)): (-0.4067156742269652+8.160730527303219e-17j)
(np.int64(2), np.int64(8), np.int64(8), np.int64(2)): (-0.40671567422696525+8.160730527303219e-17j)
(np.int64(3), np.int64(1), np.int64(1), np.int64(3)): (-0.5479665455431451+7.254761903126961e-17j)
(np.int64(3), np.int64(1), np.int64(3), np.int64(1)): (-0.5479665455431452+7.254761903126961e-17j)
(np.int64(3), np.int64(2), np.int64(2), np.int64(3)): (-1.0298402385688774+1.3634492451854272e-16j)
(np.int64(3), np.int64(2), np.int64(3), np.int64(2)): (-1.0298402385688774+1.3634492451854272e-16j)
(np.int64(3), np.int64(3), np.int64(3), np.int64(3)): (0.6125+6.123233995736765e-17j)
(np.int64(3), np.int64(4), np.int64(3), np.int64(4)): (-1.5778067841120185+2.0889254354981226e-16j)
(np.int64(3), np.int64(4), np.int64(4), np.int64(3)): (-1.5778067841120185+2.0889254354981226e-16j)
(np.int64(3), np.int64(5), np.int64(3), np.int64(5)): (-1.5778067841120196+2.0889254354981236e-16j)
(np.int64(3), np.int64(5), np.int64(5), np.int64(3)): (-1.5778067841120196+2.0889254354981236e-16j)
(np.int64(3), np.int64(6), np.int64(3), np.int64(6)): (-1.3874999999999995+1.8369701987210294e-16j)
(np.int64(3), np.int64(6), np.int64(6), np.int64(3)): (-1.3874999999999995+1.8369701987210294e-16j)
(np.int64(3), np.int64(7), np.int64(3), np.int64(7)): (-1.0298402385688765+1.867359718739615e-16j)
(np.int64(3), np.int64(7), np.int64(7), np.int64(3)): (-1.0298402385688765+1.867359718739615e-16j)
(np.int64(3), np.int64(8), np.int64(3), np.int64(8)): (-0.5479665455431438+1.229386663866883e-16j)
(np.int64(3), np.int64(8), np.int64(8), np.int64(3)): (-0.547966545543144+1.2293866638668832e-16j)
(np.int64(4), np.int64(1), np.int64(1), np.int64(4)): (-0.6231245643419107+8.249810845312537e-17j)
(np.int64(4), np.int64(1), np.int64(4), np.int64(1)): (-0.6231245643419107+8.249810845312537e-17j)
(np.int64(4), np.int64(2), np.int64(2), np.int64(4)): (-1.1710911098850547+1.550457274843949e-16j)
(np.int64(4), np.int64(2), np.int64(4), np.int64(2)): (-1.1710911098850545+1.550457274843949e-16j)
(np.int64(4), np.int64(3), np.int64(3), np.int64(4)): (-1.5778067841120185+2.0889254354981226e-16j)
(np.int64(4), np.int64(3), np.int64(4), np.int64(3)): (-1.5778067841120185+2.0889254354981226e-16j)
(np.int64(4), np.int64(4), np.int64(4), np.int64(4)): (0.20578432577303477+3.514601309956514e-17j)
(np.int64(4), np.int64(5), np.int64(4), np.int64(5)): (-1.7942156742269644+2.375438359375202e-16j)
(np.int64(4), np.int64(5), np.int64(5), np.int64(4)): (-1.7942156742269644+2.375438359375202e-16j)
(np.int64(4), np.int64(6), np.int64(4), np.int64(6)): (-1.5778067841120202+2.740546386891317e-16j)
(np.int64(4), np.int64(6), np.int64(6), np.int64(4)): (-1.57780678411202+2.7405463868913163e-16j)
(np.int64(4), np.int64(7), np.int64(4), np.int64(7)): (-1.1710911098850552+2.428383807715182e-16j)
(np.int64(4), np.int64(7), np.int64(7), np.int64(4)): (-1.171091109885055+2.428383807715181e-16j)
(np.int64(4), np.int64(8), np.int64(4), np.int64(8)): (-0.6231245643419103+1.4766020359244466e-16j)
(np.int64(4), np.int64(8), np.int64(8), np.int64(4)): (-0.6231245643419103+1.4766020359244466e-16j)
(np.int64(5), np.int64(1), np.int64(1), np.int64(5)): (-0.6231245643419105+8.249810845312537e-17j)
(np.int64(5), np.int64(1), np.int64(5), np.int64(1)): (-0.6231245643419105+8.249810845312537e-17j)
(np.int64(5), np.int64(2), np.int64(2), np.int64(5)): (-1.171091109885054+1.5504572748439496e-16j)
(np.int64(5), np.int64(2), np.int64(5), np.int64(2)): (-1.171091109885054+1.5504572748439496e-16j)
(np.int64(5), np.int64(3), np.int64(3), np.int64(5)): (-1.5778067841120196+2.0889254354981236e-16j)
(np.int64(5), np.int64(3), np.int64(5), np.int64(3)): (-1.5778067841120196+2.0889254354981236e-16j)
(np.int64(5), np.int64(4), np.int64(4), np.int64(5)): (-1.7942156742269644+2.375438359375202e-16j)
(np.int64(5), np.int64(4), np.int64(5), np.int64(4)): (-1.7942156742269644+2.375438359375202e-16j)
(np.int64(5), np.int64(5), np.int64(5), np.int64(5)): (0.20578432577303474+2.0374965315664557e-17j)
(np.int64(5), np.int64(6), np.int64(5), np.int64(6)): (-1.5778067841120185+3.165861756806468e-16j)
(np.int64(5), np.int64(6), np.int64(6), np.int64(5)): (-1.5778067841120185+3.165861756806468e-16j)
(np.int64(5), np.int64(7), np.int64(5), np.int64(7)): (-1.171091109885053+2.6273935961522937e-16j)
(np.int64(5), np.int64(7), np.int64(7), np.int64(5)): (-1.171091109885053+2.6273935961522937e-16j)
(np.int64(5), np.int64(8), np.int64(5), np.int64(8)): (-0.6231245643419099+1.527901346522555e-16j)
(np.int64(5), np.int64(8), np.int64(8), np.int64(5)): (-0.6231245643419099+1.527901346522555e-16j)
(np.int64(6), np.int64(1), np.int64(1), np.int64(6)): (-0.5479665455431441+7.25476190312696e-17j)
(np.int64(6), np.int64(1), np.int64(6), np.int64(1)): (-0.5479665455431441+7.254761903126961e-17j)
(np.int64(6), np.int64(2), np.int64(2), np.int64(6)): (-1.0298402385688759+1.3634492451854275e-16j)
(np.int64(6), np.int64(2), np.int64(6), np.int64(2)): (-1.0298402385688759+1.3634492451854275e-16j)
(np.int64(6), np.int64(3), np.int64(3), np.int64(6)): (-1.3874999999999995+1.8369701987210294e-16j)
(np.int64(6), np.int64(3), np.int64(6), np.int64(3)): (-1.3874999999999995+1.8369701987210294e-16j)
(np.int64(6), np.int64(4), np.int64(4), np.int64(6)): (-1.5778067841120202+2.740546386891317e-16j)
(np.int64(6), np.int64(4), np.int64(6), np.int64(4)): (-1.57780678411202+2.7405463868913163e-16j)
(np.int64(6), np.int64(5), np.int64(5), np.int64(6)): (-1.5778067841120185+3.165861756806468e-16j)
(np.int64(6), np.int64(5), np.int64(6), np.int64(5)): (-1.5778067841120185+3.165861756806468e-16j)
(np.int64(6), np.int64(6), np.int64(6), np.int64(6)): (0.6124999999999998-6.12323399573676e-17j)
(np.int64(6), np.int64(7), np.int64(6), np.int64(7)): (-1.0298402385688734+2.44038556649377e-16j)
(np.int64(6), np.int64(7), np.int64(7), np.int64(6)): (-1.0298402385688734+2.44038556649377e-16j)
(np.int64(6), np.int64(8), np.int64(6), np.int64(8)): (-0.5479665455431438+1.377097141705888e-16j)
(np.int64(6), np.int64(8), np.int64(8), np.int64(6)): (-0.5479665455431438+1.377097141705888e-16j)
(np.int64(7), np.int64(1), np.int64(1), np.int64(7)): (-0.4067156742269653+5.384681606541738e-17j)
(np.int64(7), np.int64(1), np.int64(7), np.int64(1)): (-0.4067156742269653+5.384681606541738e-17j)
(np.int64(7), np.int64(2), np.int64(2), np.int64(7)): (-0.7643754356580899+1.0119891141897766e-16j)
(np.int64(7), np.int64(2), np.int64(7), np.int64(2)): (-0.7643754356580899+1.0119891141897766e-16j)
(np.int64(7), np.int64(3), np.int64(3), np.int64(7)): (-1.0298402385688765+1.867359718739615e-16j)
(np.int64(7), np.int64(3), np.int64(7), np.int64(3)): (-1.0298402385688765+1.867359718739615e-16j)
(np.int64(7), np.int64(4), np.int64(4), np.int64(7)): (-1.171091109885055+2.4283838077151816e-16j)
(np.int64(7), np.int64(4), np.int64(7), np.int64(4)): (-1.171091109885055+2.428383807715181e-16j)
(np.int64(7), np.int64(5), np.int64(5), np.int64(7)): (-1.171091109885053+2.6273935961522937e-16j)
(np.int64(7), np.int64(5), np.int64(7), np.int64(5)): (-1.171091109885053+2.6273935961522937e-16j)
(np.int64(7), np.int64(6), np.int64(6), np.int64(7)): (-1.0298402385688734+2.44038556649377e-16j)
(np.int64(7), np.int64(6), np.int64(7), np.int64(6)): (-1.0298402385688734+2.44038556649377e-16j)
(np.int64(7), np.int64(7), np.int64(7), np.int64(7)): (1.235624564341909-2.435645701774241e-16j)
(np.int64(7), np.int64(8), np.int64(7), np.int64(8)): (-0.4067156742269627+1.0423786342083537e-16j)
(np.int64(7), np.int64(8), np.int64(8), np.int64(7)): (-0.4067156742269626+1.0423786342083537e-16j)
(np.int64(8), np.int64(1), np.int64(1), np.int64(8)): (-0.2164088901149454+2.865129238770802e-17j)
(np.int64(8), np.int64(1), np.int64(8), np.int64(1)): (-0.2164088901149454+2.865129238770802e-17j)
(np.int64(8), np.int64(2), np.int64(2), np.int64(8)): (-0.40671567422696525+8.160730527303219e-17j)
(np.int64(8), np.int64(2), np.int64(8), np.int64(2)): (-0.40671567422696525+8.160730527303219e-17j)
(np.int64(8), np.int64(3), np.int64(3), np.int64(8)): (-0.5479665455431437+1.229386663866883e-16j)
(np.int64(8), np.int64(3), np.int64(8), np.int64(3)): (-0.5479665455431441+1.2293866638668832e-16j)
(np.int64(8), np.int64(4), np.int64(4), np.int64(8)): (-0.6231245643419103+1.4766020359244466e-16j)
(np.int64(8), np.int64(4), np.int64(8), np.int64(4)): (-0.6231245643419103+1.4766020359244466e-16j)
(np.int64(8), np.int64(5), np.int64(5), np.int64(8)): (-0.6231245643419099+1.527901346522555e-16j)
(np.int64(8), np.int64(5), np.int64(8), np.int64(5)): (-0.6231245643419099+1.527901346522555e-16j)
