Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-4.007900407052543e-16-2.6123188643224386j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (-4.007900407052544e-16-2.6123188643224364j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (-4.007900407052551e-16-2.6123188643224413j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (-4.0079004070525515e-16-2.6123188643224404j)
(np.int64(1), np.int64(2), np.int64(5), np.int64(4), np.int64(4)): (-7.473472516160275e-16-3.215072889279491j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(5), np.int64(6)): (-9.23689231541042e-16-3.666969892347835j)
(np.int64(1), np.int64(3), np.int64(7), np.int64(6), np.int64(5)): (-9.23689231541042e-16-3.666969892347837j)
(np.int64(1), np.int64(5), np.int64(2), np.int64(4), np.int64(4)): (-7.473472516160276e-16-3.215072889279492j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(5), np.int64(6)): (-9.23689231541042e-16-3.666969892347834j)
(np.int64(1), np.int64(7), np.int64(3), np.int64(6), np.int64(5)): (-9.23689231541042e-16-3.666969892347836j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(2), np.int64(4)): (8.795646418151845e-16+4.336425973196789j)
(np.int64(1), np.int64(7), np.int64(7), np.int64(4), np.int64(2)): (8.795646418151845e-16+4.336425973196789j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(8)): (-4.051297034153795e-16-2.6123188643224378j)
(np.int64(2), np.int64(1), np.int64(1), np.int64(8), np.int64(5)): (-4.0512970341537954e-16-2.6123188643224378j)
(np.int64(2), np.int64(1), np.int64(5), np.int64(4), np.int64(4)): (-7.473472516160276e-16-3.2150728892794924j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(5), np.int64(7)): (-1.2435294112692924e-15-4.336425973196759j)
(np.int64(2), np.int64(2), np.int64(8), np.int64(7), np.int64(5)): (-1.2435294112692926e-15-4.336425973196761j)
(np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(4)): (-7.473472516160267e-16-3.2150728892794835j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(3), np.int64(4)): (8.808674381506038e-16+3.6669698923478444j)
(np.int64(2), np.int64(6), np.int64(8), np.int64(4), np.int64(3)): (8.808674381506038e-16+3.6669698923478444j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(5), np.int64(7)): (-1.2435294112692924e-15-4.336425973196759j)
(np.int64(2), np.int64(8), np.int64(2), np.int64(7), np.int64(5)): (-1.2435294112692926e-15-4.336425973196761j)
(np.int64(2), np.int64(8), np.int64(6), np.int64(3), np.int64(4)): (8.808674381506036e-16+3.666969892347845j)
