Shape: (9, 9, 9, 9, 9)
Non-zero entries (indices: value):
(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2)): (14.943171001205389-4.945891773744914e-16j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1)): (14.943171001205389-4.945891773744915e-16j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(8)): (-0.9529535991396059+7.69713997821086e-17j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(7)): (-1.452814262442645+1.171809734403201e-16j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(6), np.int64(6)): (-1.6367482299412015+1.3439653402214526e-16j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(5)): (-1.4528142624426454+1.171809734403201e-16j)
(np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(4)): (-0.9529535991396059+7.69713997821086e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(3)): (-2.7781880660877514+3.769829721693758e-16j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2)): (1.4776333102928607-8.484503900148306e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1)): (-2.7781880660877514+3.769829721693758e-16j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(5), np.int64(8)): (-2.61231886432242+4.007900407052507e-16j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(6), np.int64(7)): (-0.4579701892878769-1.4086670201210123e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(6)): (-0.4579701892878769-1.4086670201210073e-17j)
(np.int64(1), np.int64(1), np.int64(2), np.int64(8), np.int64(5)): (-2.6123188643224178+4.007900407052508e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(4)): (-1.7513141420576663+3.106038963018884e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(3)): (-3.676670992031462+3.7865157428378896e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2)): (-3.676670992031462+3.7865157428378896e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(4), np.int64(1)): (-1.7513141420576663+3.106038963018884e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(6), np.int64(8)): (3.7217653182210886-7.424446965539626e-16j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(7), np.int64(7)): (6.6182812411526255-1.2664110531541678e-15j)
(np.int64(1), np.int64(1), np.int64(3), np.int64(8), np.int64(6)): (3.721765318221089-7.424446965539626e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(5)): (-1.501730560085004+2.9564175514485743e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(4)): (-2.2683582342749604+3.630037831022091e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(3), np.int64(3)): (-4.332848020183958+7.374511026360759e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(4), np.int64(2)): (-2.2683582342749604+3.6300378310220926e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(1)): (-1.5017305600850037+2.9564175514485743e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(7), np.int64(8)): (-2.612318864322463+5.407070179280219e-16j)
(np.int64(1), np.int64(1), np.int64(4), np.int64(8), np.int64(7)): (-2.612318864322463+5.407070179280221e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(6)): (-1.361985948193297+2.8397961025443146e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(5)): (-1.8838735059634284+3.514354398836477e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(3), np.int64(4)): (-5.042790399940442+9.211616180621001e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(3)): (-5.042790399940442+9.211616180621001e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(5), np.int64(2)): (-1.8838735059634288+3.514354398836478e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(1)): (-1.361985948193297+2.8397961025443146e-16j)
(np.int64(1), np.int64(1), np.int64(5), np.int64(8), np.int64(8)): (-0.9529535991396023+3.438367235863205e-16j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(7)): (-1.242564472761574+2.717355667523502e-16j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(2), np.int64(6)): (-1.5434677504736707+3.075163180667745e-16j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(3), np.int64(5)): (-5.214217545624999+1.0257710108588862e-15j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(4), np.int64(4)): (-5.225449189120715+1.0366944230553432e-15j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(5), np.int64(3)): (-5.214217545624999+1.025771010858886e-15j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(6), np.int64(2)): (-1.5434677504736711+3.075163180667745e-16j)
(np.int64(1), np.int64(1), np.int64(6), np.int64(7), np.int64(1)): (-1.242564472761574+2.717355667523502e-16j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(8)): (-1.2405815097272945+2.8668658941365813e-16j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(2), np.int64(7)): (-1.107087598175736+2.2982435680024573e-16j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(3), np.int64(6)): (-5.373375759420071+1.1489074434882787e-15j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(4), np.int64(5)): (-5.328366655283514+1.1429966956064566e-15j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(5), np.int64(4)): (-5.328366655283514+1.1429966956064566e-15j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(6), np.int64(3)): (-5.373375759420071+1.1489074434882787e-15j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(7), np.int64(2)): (-1.1070875981757364+2.298243568002458e-16j)
(np.int64(1), np.int64(1), np.int64(7), np.int64(8), np.int64(1)): (-1.2405815097272945+2.8668658941365813e-16j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(2), np.int64(8)): (-0.5674936531882837+3.428087128885599e-17j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(3), np.int64(7)): (-6.423078859643171+1.5108224607646716e-15j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(4), np.int64(6)): (-5.991129259075047+1.3997991078287855e-15j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(5), np.int64(5)): (-5.890331346245541+1.374757541867392e-15j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(6), np.int64(4)): (-5.991129259075047+1.3997991078287855e-15j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(3)): (-6.423078859643171+1.510822460764672e-15j)
(np.int64(1), np.int64(1), np.int64(8), np.int64(8), np.int64(2)): (-0.5674936531882837+3.428087128885601e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3)): (-2.7781880660877505+3.7698297216937584e-16j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(2)): (1.4776333102928625-8.484503900148323e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(1)): (-2.7781880660877514+3.769829721693758e-16j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(8)): (-2.6123188643224196+4.007900407052509e-16j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(6), np.int64(7)): (-0.45797018928787736-1.4086670201210147e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(6)): (-0.45797018928787603-1.4086670201210147e-17j)
(np.int64(1), np.int64(2), np.int64(1), np.int64(8), np.int64(5)): (-2.6123188643224187+4.0079004070525096e-16j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(4)): (0.803552937552511+7.246608124081007e-16j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(3)): (11.390177467743387-6.154793330175903e-16j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(2)): (11.390177467743387-6.154793330175902e-16j)
(np.int64(1), np.int64(2), np.int64(2), np.int64(4), np.int64(1)): (0.8035529375525101+7.246608124081007e-16j)
